Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 3.77496254496000e+02 3.47605814523200e+02 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 8.79294521202228e+21 8.79294521202228e-04 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.93558878784977e-14 3.77496254491699e+02 3.48919397429136e+02 1.08016893289034e-06 2.18353339963444e-20 4.56007715879458e-21 6.53396557335097e-21 3.25288577977172e-18 4.43227743448121e+06 1.63000288872386e+07 7.90099307609411e-12 1.10268802219535e+06 4.96095123443296e-32 5.34860990400729e-65 8.79294521202217e+21 9.23668335960543e+07 1.76019343536103e+04 1.74027175668457e+07 4.43227677707160e+06 1.56800664234473e-11 4.72160599995983e-10 
9.87117757569955e-14 3.77496254487398e+02 3.48919397426891e+02 3.40914094827182e-06 9.41591232606551e-20 1.96641310297536e-20 2.81760045379210e-20 1.44769227987561e-17 8.86455561023770e+06 3.26000570444506e+07 2.49364664007944e-11 2.20537604252267e+06 3.70501437682668e-31 1.12739526040207e-63 8.79294521202205e+21 1.84733666793478e+08 3.52038686878962e+04 3.48054351618424e+07 8.86455353537532e+06 4.94881354885697e-11 1.49019464289791e-09 
1.48067663635493e-13 3.77496254483098e+02 3.48919397424646e+02 7.01324308148737e-06 2.47221063529990e-19 5.16294888422146e-20 7.39779807445180e-20 3.86854423434045e-17 1.32968345428967e+07 4.89000844562458e+07 5.12989884650020e-11 3.30806406094258e+06 1.38690169811595e-30 8.05925556938685e-63 8.79294521202194e+21 2.77100499584766e+08 5.28058030024501e+04 5.22081527855836e+07 1.32968302745155e+07 1.01806367671933e-10 3.06561004752979e-09 
3.63408980530789e-13 3.77496254464333e+02 3.48919397422400e+02 3.66606381284260e-05 2.73003806972243e-18 5.70139416240538e-19 8.16931619013569e-19 4.43543883613523e-16 3.26350175059211e+07 1.20017617084270e+08 2.68157345898222e-10 8.11912712129859e+06 4.09017819090199e-29 1.42137134626281e-60 8.79294521202144e+21 6.80099939911404e+08 1.29603604997183e+05 1.28136766517934e+08 3.26349951936296e+07 5.32176435045725e-10 1.60249959055348e-08 
5.78750297426084e-13 3.77496254445568e+02 3.48919397412603e+02 9.01391905601112e-05 9.61638882998597e-18 2.00828056417556e-18 2.87759067582737e-18 1.57636202424617e-15 5.19732146148303e+07 1.91135135781070e+08 6.59330462488376e-10 1.29301901460067e+07 2.11316386629023e-28 1.56779345431459e-59 8.79294521202094e+21 1.08309937264769e+09 2.06401406623143e+05 2.04065380787495e+08 5.19731597545928e+07 1.30848551582316e-09 3.94013832719474e-08 
7.94091614321379e-13 3.77496254426804e+02 3.48919397402807e+02 1.67825283056615e-04 2.33353480003495e-17 4.87333939737564e-18 6.98282702523269e-18 3.84117310642604e-15 7.13114260930277e+07 2.62252640326632e+08 1.22757118069549e-09 1.77412531345038e+07 6.77270526394291e-28 8.71059214893029e-59 8.79294521202045e+21 1.48609879767375e+09 2.83199207874506e+05 2.79993995602750e+08 7.13113239517489e+07 2.43619640814737e-09 7.33592885866696e-08 
1.00943293121667e-12 3.77496254408039e+02 3.48919397393010e+02 2.69851760626406e-04 4.64281815586250e-17 9.69603237777986e-18 1.38930844672812e-17 7.65971902055406e-15 9.06496520193549e+07 3.33370130643311e+08 1.97385095237545e-09 2.25523160865913e+07 1.67951834807578e-27 3.33184171894635e-58 8.79294521201995e+21 1.88909821494728e+09 3.59997008749216e+05 3.55922610966695e+08 9.06494877831016e+07 3.91723659897097e-09 1.17956773401363e-07 
1.64850247636397e-12 3.77496254352351e+02 3.48919397383213e+02 7.16116160349770e-04 2.04418603933274e-16 4.26906556955161e-17 6.11698505752660e-17 3.38205363904350e-14 1.48039890757427e+08 5.44425792335041e+08 5.23807724414091e-09 3.68301323950289e+07 1.28283950340707e-26 7.80375685470636e-57 8.79294521201847e+21 3.08508163403248e+09 5.87910239256040e+05 5.81256360571218e+08 1.48039454917711e+08 1.03952939856132e-08 3.13026264445894e-07 
2.28757202151127e-12 3.77496254296663e+02 3.48919397354139e+02 1.37697805580560e-03 5.35553445883253e-16 1.11844657841283e-16 1.60258037205778e-16 8.86815401872248e-14 2.05430256877240e+08 7.55481328578016e+08 1.00719793408431e-08 5.11079483824613e+07 4.52465107634474e-26 4.86045311513495e-56 8.79294521201699e+21 4.28106498476755e+09 8.15823466442110e+05 8.06590115013253e+08 2.05429418827217e+08 1.99884530205821e-08 6.01899562008628e-07 
