% # columns="iteration, evaluation, sigma, beta, void,  sigvec==sigma_vec.scaling factors from diagonal decoding", seed=405312, Mon Aug  4 13:22:42 2025, <python>{}</python>
1 32 0.4521257373900816 1 0 0.6666666666666666 0.6666641025690335 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
2 64 0.42380535207956316 1 0 0.6666666666666666 0.6666641025690335 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
3 96 0.44423691546142874 1 0 0.6666666666666666 0.644417313373023 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
4 128 0.45313834485841 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
5 160 0.4316866660131378 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
6 192 0.40141369328422344 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
7 224 0.41446603561734874 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
8 256 0.37679426859989495 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
9 288 0.3488221575810765 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
10 320 0.3413555114400928 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
11 352 0.3271301461690865 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
12 384 0.33496533098607856 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
13 416 0.3236691954179313 1 0 0.6408872061531725 0.6223908016383334 0.6666615384812623 0.6666589744033529 0.6666564103353053 0.6666538462771195 0.6666512822287955 0.6666487181903331 0.6666461541617325 0.6666435901429933 0.6666410261341159 0.6666384621351 0.6666358981459457
