Species               Population
--------------------------------------------------------------------------------------------------
O2[39.176963%]
 O2(X)                9.25088994738309e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             7.42936937790399e-02
 O2(b1Sg+)            5.85411365028646e-04
 O2(A3Su+_C3Du_c1Su-) 3.19001176227810e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[22.814123%]
 O(3P)                9.99781935243676e-01
 O(1D)                2.18064756324270e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[12.865395%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[25.143520%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99926188305634e-01
 | | CO(X,v=0,J=0)    | | 9.11308286778091e-03
 | | CO(X,v=0,J=1)    | | 2.68744783178555e-02
 | | CO(X,v=0,J=2)    | | 4.32808447784696e-02
 | | CO(X,v=0,J=3)    | | 5.75551473125530e-02
 | | CO(X,v=0,J=4)    | | 6.90943463797587e-02
 | | CO(X,v=0,J=5)    | | 7.75104093547650e-02
 | | CO(X,v=0,J=6)    | | 8.26478400512303e-02
 | | CO(X,v=0,J=7)    | | 8.45772759891203e-02
 | | CO(X,v=0,J=8)    | | 8.35678257700759e-02
 | | CO(X,v=0,J=9)    | | 8.00433023726415e-02
 | | CO(X,v=0,J=10)   | | 7.45290140391825e-02
 | | CO(X,v=0,J=11)   | | 6.75961668883717e-02
 | | CO(X,v=0,J=12)   | | 5.98102837668881e-02
 | | CO(X,v=0,J=13)   | | 5.16885926425357e-02
 | | CO(X,v=0,J=14)   | | 4.36694275370053e-02
 | | CO(X,v=0,J=15)   | | 3.60946820566121e-02
 | | CO(X,v=0,J=16)   | | 2.92045797378530e-02
 | | CO(X,v=0,J=17)   | | 2.31427001373009e-02
 | CO(X,v=1)          | 7.38055638963185e-05
 | CO(X,v=2)          | 6.12989691996768e-09
 | CO(X,v=3)          | 5.72875367899218e-13
 | CO(X,v=4)          | 6.02434778469548e-17
 | CO(X,v=5)          | 7.12857677047330e-21
 | CO(X,v=6)          | 9.49158049725769e-25
 | CO(X,v=7)          | 1.42205747133038e-28
 | CO(X,v=8)          | 2.39738989474401e-32
 | CO(X,v=9)          | 4.54781826175206e-36
 | CO(X,v=10)         | 9.70756799027779e-40
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
