Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.25000000000000e-02 1.65735845736217e-01 -1.24162851083990e-03 
3.75000000000000e-02 1.65755133951461e-01 -4.52770920246476e-04 
6.25000000000000e-02 1.65771184955913e-01 8.35483189603908e-05 
8.75000000000000e-02 1.65783511039749e-01 4.61172974010594e-04 
1.12500000000000e-01 1.65791465777976e-01 8.01449165025947e-04 
1.37500000000000e-01 1.65794671478774e-01 1.32186457900403e-03 
1.62500000000000e-01 1.65787475814972e-01 1.97233507694009e-03 
1.87500000000000e-01 1.65769495288641e-01 2.51723620789968e-03 
2.12500000000000e-01 1.65741275871730e-01 2.98537116655960e-03 
2.37500000000000e-01 1.65702962076380e-01 3.33052629060311e-03 
2.62500000000000e-01 1.65657497282770e-01 4.56033809662273e-03 
2.87500000000000e-01 1.65568875390585e-01 6.64038503134790e-03 
3.12500000000000e-01 1.65436465963579e-01 7.77155680729026e-03 
3.37500000000000e-01 1.65286732847322e-01 8.08671168668989e-03 
3.62500000000000e-01 1.65130132247751e-01 8.35493298289806e-03 
3.87500000000000e-01 1.64963452227456e-01 9.42826251997431e-03 
4.12500000000000e-01 1.64748054612526e-01 1.17228470816416e-02 
4.37500000000000e-01 1.64466708255062e-01 1.29030458460211e-02 
4.62500000000000e-01 1.64123346744430e-01 1.23353107269757e-02 
4.87500000000000e-01 1.63857935430419e-01 1.19231026459998e-02 
5.12500000000000e-01 1.63580357996413e-01 1.26487632448126e-02 
5.37500000000000e-01 1.63270723412577e-01 1.39143176683639e-02 
5.62500000000000e-01 1.62925288202640e-01 1.40982373786818e-02 
5.87500000000000e-01 1.62526016923892e-01 1.32715445912120e-02 
6.12500000000000e-01 1.62220066728234e-01 1.34538277146780e-02 
6.37500000000000e-01 1.61888848149148e-01 1.49654023364718e-02 
6.62500000000000e-01 1.61530684385062e-01 1.60241081389590e-02 
6.87500000000000e-01 1.61172885403731e-01 1.59902789382434e-02 
7.12500000000000e-01 1.60782161231865e-01 1.54999999930803e-02 
7.37500000000000e-01 1.60461742035904e-01 1.55020285612212e-02 
7.62500000000000e-01 1.60131118919191e-01 1.61063411122390e-02 
7.87500000000000e-01 1.59787989981861e-01 1.60038164725725e-02 
8.12500000000000e-01 1.59378816475828e-01 1.52543392201834e-02 
8.37500000000000e-01 1.59046558946046e-01 1.50946095267081e-02 
8.62500000000000e-01 1.58672912568184e-01 1.56976443005647e-02 
8.87500000000000e-01 1.58254740184297e-01 1.62393344761268e-02 
9.12500000000000e-01 1.57794256227188e-01 1.65596746807572e-02 
9.37500000000000e-01 1.57305358561384e-01 1.67385732615477e-02 
9.62500000000000e-01 1.56819327823571e-01 1.70749245002766e-02 
9.87500000000000e-01 1.56311050236120e-01 1.75546292888101e-02 
