Species               Population
--------------------------------------------------------------------------------------------------
O2[48.550700%]
 O2(X)                9.29512104437180e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             6.99694234565652e-02
 O2(b1Sg+)            4.90665502409552e-04
 O2(A3Su+_C3Du_c1Su-) 2.78066038454754e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[7.409280%]
 O(3P)                9.99990146864135e-01
 O(1D)                9.85313586523100e-06
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[27.602691%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[16.437329%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99845700241112e-01
 | | CO(X,v=0,J=0)    | | 8.54457698040229e-03
 | | CO(X,v=0,J=1)    | | 2.52314625078199e-02
 | | CO(X,v=0,J=2)    | | 4.07429414839754e-02
 | | CO(X,v=0,J=3)    | | 5.43966588025025e-02
 | | CO(X,v=0,J=4)    | | 6.56506614965553e-02
 | | CO(X,v=0,J=5)    | | 7.41382443169514e-02
 | | CO(X,v=0,J=6)    | | 7.96850010025599e-02
 | | CO(X,v=0,J=7)    | | 8.23073672652218e-02
 | | CO(X,v=0,J=8)    | | 8.21942045296173e-02
 | | CO(X,v=0,J=9)    | | 7.96748589775467e-02
 | | CO(X,v=0,J=10)   | | 7.51783911506953e-02
 | | CO(X,v=0,J=11)   | | 6.91891829123482e-02
 | | CO(X,v=0,J=12)   | | 6.22038994507790e-02
 | | CO(X,v=0,J=13)   | | 5.46939394332652e-02
 | | CO(X,v=0,J=14)   | | 4.70762522558603e-02
 | | CO(X,v=0,J=15)   | | 3.96939778028729e-02
 | | CO(X,v=0,J=16)   | | 3.28069998615208e-02
 | | CO(X,v=0,J=17)   | | 2.65913797695056e-02
 | CO(X,v=1)          | 1.54273212662695e-04
 | CO(X,v=2)          | 2.65411325986952e-08
 | CO(X,v=3)          | 5.09119542497746e-12
 | CO(X,v=4)          | 1.08890870966515e-15
 | CO(X,v=5)          | 2.59677644586222e-19
 | CO(X,v=6)          | 6.90476723482167e-23
 | CO(X,v=7)          | 2.04708044723918e-26
 | CO(X,v=8)          | 6.76693750057082e-30
 | CO(X,v=9)          | 2.49413989075179e-33
 | CO(X,v=10)         | 1.02499285814202e-36
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
