Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
1.91250000000000e+00 1.26006323596651e-01 2.59290509861524e-02 
1.93750000000000e+00 1.25319328247369e-01 2.60607399278447e-02 
1.96250000000000e+00 1.24631624565780e-01 2.61873164085619e-02 
1.98750000000000e+00 1.23943347134119e-01 2.63085961551088e-02 
2.01250000000000e+00 1.23254644917051e-01 2.64245046184485e-02 
2.03750000000000e+00 1.22565688993618e-01 2.65351323592325e-02 
2.06250000000000e+00 1.21876640702296e-01 2.66405261972397e-02 
2.08750000000000e+00 1.21187659694127e-01 2.67407524818655e-02 
2.11250000000000e+00 1.20498900550836e-01 2.68358644942094e-02 
2.13750000000000e+00 1.19809622059497e-01 2.69256740166146e-02 
2.16250000000000e+00 1.19119976216218e-01 2.70101800659675e-02 
2.18750000000000e+00 1.18430111259019e-01 2.70894753347424e-02 
2.21250000000000e+00 1.17740172146781e-01 2.71635025051968e-02 
2.23750000000000e+00 1.17049758303442e-01 2.72319580563216e-02 
2.26250000000000e+00 1.16359025595296e-01 2.72947330705573e-02 
2.28750000000000e+00 1.15668125340225e-01 2.73519289843910e-02 
2.31250000000000e+00 1.14977204599906e-01 2.74036726699309e-02 
2.33750000000000e+00 1.14286652357592e-01 2.74500816778314e-02 
2.36250000000000e+00 1.13596609294948e-01 2.74912146530935e-02 
2.38750000000000e+00 1.12907214088766e-01 2.75271574446265e-02 
2.41250000000000e+00 1.12218601151400e-01 2.75579876509322e-02 
2.43750000000000e+00 1.11533161999321e-01 2.75838886473131e-02 
2.46250000000000e+00 1.10851026658851e-01 2.76049586819355e-02 
2.48750000000000e+00 1.10172321422096e-01 2.76212854354520e-02 
2.51250000000000e+00 1.09497167839439e-01 2.76330537707869e-02 
2.53750000000000e+00 1.08822817833613e-01 2.76403020783861e-02 
2.56250000000000e+00 1.08149384507230e-01 2.76430205306664e-02 
2.58750000000000e+00 1.07476979196830e-01 2.76413015203448e-02 
2.61250000000000e+00 1.06805709390885e-01 2.76352689233494e-02 
2.63750000000000e+00 1.06136448745280e-01 2.76250617179730e-02 
2.66250000000000e+00 1.05469296206745e-01 2.76108015461201e-02 
2.68750000000000e+00 1.04804348221847e-01 2.75925719321181e-02 
2.71250000000000e+00 1.04141698049481e-01 2.75705035265981e-02 
2.73750000000000e+00 1.03481439218056e-01 2.75447753107094e-02 
2.76250000000000e+00 1.02823654774899e-01 2.75155454691993e-02 
2.78750000000000e+00 1.02168424130022e-01 2.74829038152675e-02 
2.81250000000000e+00 1.01515824614912e-01 2.74469212218171e-02 
2.83750000000000e+00 1.00864898653731e-01 2.74076601896390e-02 
2.86250000000000e+00 1.00215727005760e-01 2.73650842009735e-02 
2.88750000000000e+00 9.95683868039504e-02 2.73192267235894e-02 
2.91250000000000e+00 9.89229531104583e-02 2.72702131828107e-02 
2.93750000000000e+00 9.82795985593367e-02 2.72181966422657e-02 
2.96250000000000e+00 9.76383897764203e-02 2.71632535857313e-02 
2.98750000000000e+00 9.69993928981080e-02 2.71054233771608e-02 
3.01250000000000e+00 9.63626720872727e-02 2.70448284522288e-02 
3.03750000000000e+00 9.57280530683659e-02 2.69816910320553e-02 
3.06250000000000e+00 9.50955854459824e-02 2.69162047406670e-02 
3.08750000000000e+00 9.44653199905635e-02 2.68484668269846e-02 
3.11250000000000e+00 9.38373064698211e-02 2.67785411887610e-02 
3.13750000000000e+00 9.32115137015599e-02 2.67065162784890e-02 
3.16250000000000e+00 9.25879875676713e-02 2.66324484505598e-02 
3.18750000000000e+00 9.19667727532028e-02 2.65564006687392e-02 
3.21250000000000e+00 9.13479118926464e-02 2.64784917404542e-02 
3.23750000000000e+00 9.07327741762468e-02 2.63987116652120e-02 
3.26250000000000e+00 9.01213955467017e-02 2.63171007008204e-02 
3.28750000000000e+00 8.95138081643520e-02 2.62336498258107e-02 
3.31250000000000e+00 8.89100426832905e-02 2.61484080334796e-02 
3.33750000000000e+00 8.83079398933988e-02 2.60616094184323e-02 
3.36250000000000e+00 8.77075402797769e-02 2.59731900657690e-02 
3.38750000000000e+00 8.71088831583981e-02 2.58831977824435e-02 
3.41250000000000e+00 8.65120069050767e-02 2.57916857748824e-02 
3.43750000000000e+00 8.59172168033509e-02 2.56987559120042e-02 
3.46250000000000e+00 8.53245405786917e-02 2.56045807423549e-02 
3.48750000000000e+00 8.47340062227036e-02 2.55092374978650e-02 
3.51250000000000e+00 8.41456410265358e-02 2.54127704798159e-02 
3.53750000000000e+00 8.35593980437605e-02 2.53152313728779e-02 
3.56250000000000e+00 8.29753029850938e-02 2.52166356113564e-02 
3.58750000000000e+00 8.23933813673534e-02 2.51170142226664e-02 
3.61250000000000e+00 8.18136574684032e-02 2.50164346985116e-02 
3.63750000000000e+00 8.12360057944162e-02 2.49149948919884e-02 
3.66250000000000e+00 8.06604508638472e-02 2.48127572152332e-02 
3.68750000000000e+00 8.00870127509245e-02 2.47097645208437e-02 
3.71250000000000e+00 7.95157110014610e-02 2.46060418474398e-02 
3.73750000000000e+00 7.89461930165826e-02 2.45016506779414e-02 
3.76250000000000e+00 7.83784801765120e-02 2.43965620334444e-02 
3.78750000000000e+00 7.78125944596839e-02 2.42907796213390e-02 
3.81250000000000e+00 7.72485571795985e-02 2.41844035191720e-02 
3.83750000000000e+00 7.66861417186192e-02 2.40777368297132e-02 
3.86250000000000e+00 7.61253555336950e-02 2.39710867941335e-02 
3.88750000000000e+00 7.55662026862337e-02 2.38645915191229e-02 
3.91250000000000e+00 7.50086869921915e-02 2.37582703845582e-02 
3.93750000000000e+00 7.44531338701911e-02 2.36521843550659e-02 
3.96250000000000e+00 7.38995399405158e-02 2.35464927980452e-02 
3.98750000000000e+00 7.33478992882351e-02 2.34412455209778e-02 
4.01250000000000e+00 7.27982061237167e-02 2.33362760906081e-02 
4.03750000000000e+00 7.22508575262160e-02 2.32313318144529e-02 
