Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 5.50856550000000e+02 4.11867947500000e+02 8.67460210069421e+22 8.67460210069421e-03 8.67460210069421e-03 8.67460210069421e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.02511630550492e-17 5.50856549999998e+02 4.60072197248791e+02 8.67460210069421e+22 1.23145367048850e+07 2.92118426710857e+06 3.74712481913626e+06 9.60031176188293e+01 9.12602320165662e+06 1.15033926949886e+06 1.10406548722014e-03 4.87717933818387e+05 1.08016877636894e-06 2.50476743346127e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
6.05023261100983e-17 5.50856549999996e+02 4.60072197248790e+02 8.67460210069420e+22 2.46290734010998e+07 5.84236852562785e+06 7.49424962959566e+06 1.92006235237658e+02 1.82520464034243e+07 2.30067853888661e+06 2.20813097440001e-03 9.75435867635524e+05 3.40914027309417e-06 7.90534194192512e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
9.07534891651475e-17 5.50856549999994e+02 4.60072197248788e+02 8.67460210069420e+22 3.69436100973191e+07 8.76355278423423e+06 1.12413744400527e+07 2.88009352856487e+02 2.73780696053055e+07 3.45101780816090e+06 3.31219646153876e-03 1.46315380145138e+06 7.01324130843256e-06 1.62627719082793e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.22740643589043e-16 5.50856549999986e+02 4.60072197248787e+02 8.67460210069419e+22 9.06724751206701e+07 2.15088081375074e+07 2.75902447331602e+07 7.06875175875370e+02 6.71953100686989e+07 8.46999861428103e+06 8.12928272253035e-03 3.59108858955506e+06 3.66607335413984e-05 8.50113551449878e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.54727798012938e-16 5.50856549999977e+02 4.60072197248781e+02 8.67460210069418e+22 1.44401340144106e+08 3.42540634924084e+07 4.39391150262245e+07 1.12574099889425e+03 1.07012550534213e+08 1.34889794182807e+07 1.29463689827535e-02 5.71902337763488e+06 9.01394840077910e-05 2.09021450132039e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.86714952436833e-16 5.50856549999969e+02 4.60072197248775e+02 8.67460210069417e+22 1.98130205167627e+08 4.69993188489632e+07 6.02879853192448e+07 1.54460682191311e+03 1.46829791001880e+08 1.85079602201265e+07 1.77634552421959e-02 7.84695816569048e+06 1.67825859012222e-04 3.89165800173332e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
6.18702106860729e-16 5.50856549999960e+02 4.60072197248768e+02 8.67460210069416e+22 2.51859070191235e+08 5.97445742071806e+07 7.66368556122209e+07 1.96347264493197e+03 1.86647031471713e+08 2.35269410198066e+07 2.25805415008535e-02 9.97489295372171e+06 2.69852685694509e-04 6.25752413707331e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.01041863462593e-15 5.50856549999935e+02 4.60072197248762e+02 8.67460210069413e+22 4.11317651897499e+08 9.75704308027499e+07 1.25157658503737e+08 3.20659866358604e+03 3.04818161471439e+08 3.84224642899850e+07 3.68768744342535e-02 1.62902592490081e+07 7.16143091208195e-04 1.66064038518633e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.40213516239113e-15 5.50856549999909e+02 4.60072197248743e+02 8.67460210069410e+22 5.70776233604525e+08 1.35396287412980e+08 1.73678461394863e+08 4.44972468224004e+03 4.22989291490260e+08 5.33179875410675e+07 5.11732073607327e-02 2.26056255440796e+07 1.37705017416287e-03 3.19319582896966e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.79385169015634e-15 5.50856549999884e+02 4.60072197248725e+02 8.67460210069407e+22 7.30234815312312e+08 1.73222144037871e+08 2.22199264285601e+08 5.69285070089398e+03 5.41160421528176e+08 6.82135107730536e+07 6.54695402802909e-02 2.89209918389364e+07 2.25258060833963e-03 5.22343422076048e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.18556821792154e-15 5.50856549999859e+02 4.60072197248706e+02 8.67460210069403e+22 8.89693397020860e+08 2.11048000677424e+08 2.70720067175948e+08 6.93597671954785e+03 6.59331551585186e+08 8.31090339859434e+07 7.97658731929281e-02 3.52363581335784e+07 3.34273287796617e-03 7.75135204578194e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
6.10273349557356e-15 5.50856549999605e+02 4.60072197248688e+02 8.67460210069372e+22 2.48427921414821e+09 5.89306567879297e+08 7.55928096058002e+08 1.93672369060830e+04 1.84104285320550e+09 2.32064265064555e+08 2.22729201938653e-01 9.83900210681845e+07 2.60483276371226e-02 6.04026002873151e-06 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.00198987732256e-14 5.50856549999351e+02 4.60072197248502e+02 8.67460210069340e+22 4.07886503135168e+09 9.67565136547265e+08 1.24113612490111e+09 3.17984970926117e+04 3.02275415673530e+09 3.81019494233551e+08 3.65692529992289e-01 1.61543683981311e+08 7.02159141224482e-02 1.62821347160349e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.39370640508776e-14 5.50856549999097e+02 4.60072197248316e+02 8.67460210069309e+22 5.67345084863128e+09 1.34582370668133e+09 1.72634415370527e+09 4.42297572791339e+04 4.20446546217456e+09 5.29974721492934e+08 5.08655857353838e-01 2.24697346872959e+08 1.35845473752336e-01 3.15007549669132e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.78542293285296e-14 5.50856549998843e+02 4.60072197248130e+02 8.67460210069277e+22 7.26803666598700e+09 1.72408227828148e+09 2.21155218247048e+09 5.66610174656496e+04 5.38617676952331e+09 6.78929946842703e+08 6.51619184023298e-01 2.87851009743127e+08 2.22937003524868e-01 5.16961200949518e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.70258821050499e-14 5.50856549996303e+02 4.60072197247944e+02 8.67460210068962e+22 2.32138948437311e+10 5.50666807491814e+09 7.06363246798042e+09 1.80973619330451e+05 1.72032899480318e+10 2.16848209531167e+09 2.08125241265309e+00 9.19387637263450e+08 2.27426071946214e+00 5.27370757123446e-04 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
9.61975348815701e-14 5.50856549993764e+02 4.60072197246085e+02 8.67460210068646e+22 3.91597530290876e+10 9.28925401816410e+09 1.19157127495956e+10 3.05286221194605e+05 2.90204033174877e+10 3.65803405281934e+09 3.51088557207411e+00 1.55092426263585e+09 6.47178153890480e+00 1.50071991363181e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.35369187658090e-13 5.50856549991225e+02 4.60072197244226e+02 8.67460210068331e+22 5.51056112220566e+10 1.30718401080193e+10 1.67677930273159e+10 4.29598823058113e+05 4.08375168778911e+10 5.14758581936572e+09 4.94051866228637e+00 2.18246088586031e+09 1.28154994659427e+01 2.97174359982037e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.74540840434611e-13 5.50856549988686e+02 4.60072197242367e+02 8.67460210068015e+22 7.10514694226380e+10 1.68544263444838e+10 2.16198733011414e+10 5.53911424920973e+05 5.26546306292418e+10 6.63713739495084e+09 6.37015168328987e+00 2.81399750693686e+09 2.13054144954225e+01 4.94044182418432e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
