Species               Population
--------------------------------------------------------------------------------------------------
O2[17.953035%]
 O2(X)                9.34267608277397e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             6.52656221360274e-02
 O2(b1Sg+)            4.38927807725220e-04
 O2(A3Su+_C3Du_c1Su-) 2.78417788501815e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[17.600659%]
 O(3P)                9.99825327153318e-01
 O(1D)                1.74672846681862e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[10.946352%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[53.499954%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99925970904218e-01
 | | CO(X,v=0,J=0)    | | 9.11079206244271e-03
 | | CO(X,v=0,J=1)    | | 2.68678651413249e-02
 | | CO(X,v=0,J=2)    | | 4.32706530746718e-02
 | | CO(X,v=0,J=3)    | | 5.75425092911022e-02
 | | CO(X,v=0,J=4)    | | 6.90806391482509e-02
 | | CO(X,v=0,J=5)    | | 7.74970862745211e-02
 | | CO(X,v=0,J=6)    | | 8.26362618553740e-02
 | | CO(X,v=0,J=7)    | | 8.45685651163879e-02
 | | CO(X,v=0,J=8)    | | 8.35627620570878e-02
 | | CO(X,v=0,J=9)    | | 8.00422703735043e-02
 | | CO(X,v=0,J=10)   | | 7.45320034585293e-02
 | | CO(X,v=0,J=11)   | | 6.76028195857562e-02
 | | CO(X,v=0,J=12)   | | 5.98199748432663e-02
 | | CO(X,v=0,J=13)   | | 5.17005300114063e-02
 | | CO(X,v=0,J=14)   | | 4.36827542268289e-02
 | | CO(X,v=0,J=15)   | | 3.61085678306877e-02
 | | CO(X,v=0,J=16)   | | 2.92182926121297e-02
 | | CO(X,v=0,J=17)   | | 2.31556530367279e-02
 | CO(X,v=1)          | 7.40229293714625e-05
 | CO(X,v=2)          | 6.16583297041044e-09
 | CO(X,v=3)          | 5.77888846020947e-13
 | CO(X,v=4)          | 6.09430151395945e-17
 | CO(X,v=5)          | 7.23153729672483e-21
 | CO(X,v=6)          | 9.65526932014412e-25
 | CO(X,v=7)          | 1.45052501462586e-28
 | CO(X,v=8)          | 2.45195853515424e-32
 | CO(X,v=9)          | 4.66367297129552e-36
 | CO(X,v=10)         | 9.98090966386443e-40
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
