Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
8.68055555555556e-03 1.94117595808592e-01 -1.95821017440017e-03 
2.60416666666667e-02 1.94141812170906e-01 -8.54108219456425e-04 
4.34027777777778e-02 1.94163055296803e-01 -2.37371711436746e-04 
6.07638888888889e-02 1.94181749083197e-01 1.32900982577443e-04 
7.81250000000000e-02 1.94197635850949e-01 4.11011185246137e-04 
9.54861111111111e-02 1.94210528647490e-01 6.60450162906057e-04 
1.12847222222222e-01 1.94220219524553e-01 8.91085852879780e-04 
1.30208333333333e-01 1.94226548675958e-01 1.11390527827183e-03 
1.47569444444444e-01 1.94229210285106e-01 1.79761834501368e-03 
1.64930555555556e-01 1.94215512169636e-01 2.90637542992587e-03 
1.82291666666667e-01 1.94183878551922e-01 3.52651299661419e-03 
1.99652777777778e-01 1.94146834913600e-01 3.81643397788671e-03 
2.17013888888889e-01 1.94100506820008e-01 4.21639949894533e-03 
2.34375000000000e-01 1.94044898010883e-01 4.45466359071248e-03 
2.51736111111111e-01 1.93984801250799e-01 4.56223542468604e-03 
2.69097222222222e-01 1.93919419507878e-01 5.78723473250425e-03 
2.86458333333333e-01 1.93808036502848e-01 8.06560447984685e-03 
3.03819444444445e-01 1.93647830619084e-01 9.23523730816646e-03 
3.21180555555556e-01 1.93480389913126e-01 9.42729714147096e-03 
3.38541666666667e-01 1.93288167637546e-01 9.65908757768771e-03 
3.55902777777778e-01 1.93098894211287e-01 9.76224368242157e-03 
3.73263888888889e-01 1.92906836053384e-01 9.79895282538886e-03 
3.90625000000000e-01 1.92707904820287e-01 1.10772591582860e-02 
4.07986111111111e-01 1.92448577256390e-01 1.34645743313792e-02 
4.25347222222222e-01 1.92130911462902e-01 1.50368762788995e-02 
4.42708333333333e-01 1.91788605929918e-01 1.52745421950740e-02 
4.60069444444445e-01 1.91377582885294e-01 1.45822608874890e-02 
4.77430555555556e-01 1.91055592283603e-01 1.39356531926234e-02 
4.94791666666667e-01 1.90732953906994e-01 1.39825803101352e-02 
5.12152777777778e-01 1.90403177958434e-01 1.49678063180870e-02 
5.29513888888889e-01 1.90024750500610e-01 1.69087166211747e-02 
5.46875000000000e-01 1.89593201710816e-01 1.82259976419158e-02 
5.64236111111111e-01 1.89143192872022e-01 1.77820663761508e-02 
5.81597222222222e-01 1.88616736076251e-01 1.64386181978107e-02 
5.98958333333333e-01 1.88238061261142e-01 1.55917726316589e-02 
6.16319444444445e-01 1.87858238040401e-01 1.62919935117127e-02 
6.33680555555556e-01 1.87456164557198e-01 1.76697294443830e-02 
6.51041666666667e-01 1.87027826019213e-01 1.87066801530506e-02 
6.68402777777778e-01 1.86596756573795e-01 1.92460241377765e-02 
6.85763888888889e-01 1.86165070297902e-01 1.87659090535888e-02 
7.03125000000000e-01 1.85666899609981e-01 1.75171035244408e-02 
7.20486111111111e-01 1.85314081565090e-01 1.68838183358971e-02 
7.37847222222222e-01 1.84954126403815e-01 1.74576408623464e-02 
7.55208333333333e-01 1.84579342358932e-01 1.80978000661999e-02 
7.72569444444445e-01 1.84194737954803e-01 1.85414134982810e-02 
7.89930555555556e-01 1.83804148239664e-01 1.81805634844769e-02 
8.07291666666667e-01 1.83350084213651e-01 1.70417955194523e-02 
8.24652777777778e-01 1.82975986095177e-01 1.62221792254354e-02 
8.42013888888889e-01 1.82601224141795e-01 1.63549233089415e-02 
8.59375000000000e-01 1.82195738284032e-01 1.67970322301920e-02 
8.76736111111111e-01 1.81754103293056e-01 1.72738124687896e-02 
8.94097222222222e-01 1.81277468700338e-01 1.74644648338894e-02 
9.11458333333334e-01 1.80762392318539e-01 1.71284746808211e-02 
9.28819444444445e-01 1.80246466426672e-01 1.66692082133654e-02 
9.46180555555556e-01 1.79767144821986e-01 1.66106671509079e-02 
