Species               Population
--------------------------------------------------------------------------------------------------
O2[76.752392%]
 O2(X)                9.22177538573285e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             7.74443778924602e-02
 O2(b1Sg+)            3.57599459745062e-04
 O2(A3Su+_C3Du_c1Su-) 2.04840745099681e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[23.247608%]
 O(3P)                9.99824566411757e-01
 O(1D)                1.75433588243511e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[0.000000%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[0.000000%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99927578923430e-01
 | | CO(X,v=0,J=0)    | | 9.12790202235022e-03
 | | CO(X,v=0,J=1)    | | 2.69172573277267e-02
 | | CO(X,v=0,J=2)    | | 4.33467678347633e-02
 | | CO(X,v=0,J=3)    | | 5.76368849702424e-02
 | | CO(X,v=0,J=4)    | | 6.91829852462322e-02
 | | CO(X,v=0,J=5)    | | 7.75965446961194e-02
 | | CO(X,v=0,J=6)    | | 8.27226695831042e-02
 | | CO(X,v=0,J=7)    | | 8.46335428188120e-02
 | | CO(X,v=0,J=8)    | | 8.36004929739009e-02
 | | CO(X,v=0,J=9)    | | 8.00498928193404e-02
 | | CO(X,v=0,J=10)   | | 7.45096060567778e-02
 | | CO(X,v=0,J=11)   | | 6.75530884176493e-02
 | | CO(X,v=0,J=12)   | | 5.97475861477789e-02
 | | CO(X,v=0,J=13)   | | 5.16114052372590e-02
 | | CO(X,v=0,J=14)   | | 4.35832952936553e-02
 | | CO(X,v=0,J=15)   | | 3.60049728451926e-02
 | | CO(X,v=0,J=16)   | | 2.91160223203095e-02
 | | CO(X,v=0,J=17)   | | 2.30590833887860e-02
 | CO(X,v=1)          | 7.24151735289980e-05
 | CO(X,v=2)          | 5.90249943745206e-09
 | CO(X,v=3)          | 5.41486561299971e-13
 | CO(X,v=4)          | 5.59093908814759e-17
 | CO(X,v=5)          | 6.49721425541312e-21
 | CO(X,v=6)          | 8.49796554636124e-25
 | CO(X,v=7)          | 1.25097345171632e-28
 | CO(X,v=8)          | 2.07265286008521e-32
 | CO(X,v=9)          | 3.86500799492162e-36
 | CO(X,v=10)         | 8.11184367888596e-40
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
