Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 3.57545509174000e+02 3.13877979128300e+02 3.77392225571951e+19 3.77392225571951e-06 3.77392225571951e-06 3.77392225571951e-06 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 3.77392225571951e+19 3.77392225571951e-06 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.17894448427648e-14 3.57545508783826e+02 3.17134790962151e+02 3.77392225571870e+19 2.32672096244722e+06 5.39660245562329e+05 1.10292208522969e+06 1.08681124761593e+04 6.20701624480831e+06 2.65442329980782e+06 1.12931573494377e+01 1.39709996769145e+05 9.69501186907336e-08 4.45212874870010e-14 3.77392225571923e+19 2.00479380185299e+06 6.42830477399252e+03 3.71816486728215e+05 3.76295488708999e+05 3.23945894121071e-11 2.53657817573617e-10 
4.35788896855296e-14 3.57545508393652e+02 3.17134790746229e+02 3.77392225571788e+19 4.65344192489103e+06 1.07932049114807e+06 2.20584416948265e+06 2.17362249525754e+04 1.24140324933018e+07 5.30884659594836e+06 2.25863146911832e+01 2.79419993537506e+05 3.05986028611484e-07 1.40514443412616e-13 3.77392225571895e+19 4.00958760348502e+06 1.28566095239866e+04 7.43632973475567e+05 7.52590977396718e+05 1.02241151172512e-10 8.00574040286181e-10 
6.53683345282944e-14 3.57545508003478e+02 3.17134790530308e+02 3.77392225571707e+19 6.98016288733522e+06 1.61898073676157e+06 3.30876625274214e+06 3.26043374292537e+04 1.86210487455580e+07 7.96326988834433e+06 3.38794720250741e+01 4.19129990305065e+05 6.29470682860155e-07 2.89064579776194e-13 3.77392225571868e+19 6.01438140489530e+06 1.92849142494764e+04 1.11544946024246e+06 1.12888646606271e+06 2.10329234290346e-10 1.64693103836010e-09 
2.77701016793061e-13 3.57545504201332e+02 3.17134790314386e+02 3.77392225570917e+19 2.96534758791482e+07 6.87783465985781e+06 1.40564656484507e+07 1.38511371328944e+05 7.91068676075016e+07 3.38299598140683e+07 1.43928461183116e+02 1.78056891479525e+06 9.58753940255930e-06 4.40277551036401e-12 3.77392225571599e+19 2.55505948361178e+07 8.19271324217339e+04 4.73870799375621e+06 4.79579174910820e+06 3.20354833528387e-09 2.50845935419147e-08 
4.90033699057827e-13 3.57545500399186e+02 3.17134788210283e+02 3.77392225570127e+19 5.23267888709968e+07 1.21366885855737e+07 2.48041649504097e+07 2.44418405253380e+05 1.39592686824527e+08 5.96966493864321e+07 2.53977449599964e+02 3.14200783920982e+06 2.93456441882336e-05 1.34760630278113e-11 3.77392225571330e+19 4.50868082464140e+07 1.44569348281622e+05 8.36196652911387e+06 8.46269703010324e+06 9.80545516197498e-09 7.67791949376921e-08 
7.02366381322593e-13 3.57545496597040e+02 3.17134786106181e+02 3.77392225569338e+19 7.50001018628813e+07 1.73955425139281e+07 3.55518641579465e+07 3.50325439202738e+05 2.00078506399183e+08 8.55633386028996e+07 3.64026437270298e+02 4.50344676354822e+06 5.99812964719997e-05 2.75445220289990e-11 3.77392225571061e+19 6.46230216356336e+07 2.07211561812546e+05 1.19852250663287e+07 1.21296023090331e+07 2.00419488905290e-08 1.56933534168953e-07 
9.14699063587359e-13 3.57545492794894e+02 3.17134784002078e+02 3.77392225568548e+19 9.76734148548017e+07 2.26543964449274e+07 4.62995632708268e+07 4.56232473177081e+05 2.60564326332356e+08 1.11430027462588e+08 4.74075424192267e+02 5.86488568781027e+06 1.01521467283618e-04 4.66205383339059e-11 3.77392225570792e+19 8.41592350037245e+07 2.69853773008731e+05 1.56084836054053e+07 1.57965075858927e+07 3.39220412829894e-08 2.65618177559900e-07 
1.98684402092471e-12 3.57545473596480e+02 3.17134781897976e+02 3.77392225564559e+19 2.12159220484214e+08 4.92082631033172e+07 1.00568604554619e+08 9.90995616053158e+05 5.65979240811570e+08 2.42040344115205e+08 1.02975278248585e+03 1.27392860935966e+07 4.77905608672946e-04 2.19463128470282e-10 3.77392225569435e+19 1.82804683062405e+08 5.86157050293413e+05 3.39036341041744e+07 3.43120462819045e+07 1.59685748593203e-07 1.25038004580889e-06 
3.05898897826207e-12 3.57545454398072e+02 3.17134771273601e+02 3.77392225560570e+19 3.26645026114544e+08 7.57621298291740e+07 1.54837643423977e+08 1.52575875956652e+06 8.71394164435603e+08 3.72650651667342e+08 1.58543012169062e+03 1.96136864974355e+07 1.13243513601872e-03 5.20035278017385e-10 3.77392225568077e+19 2.81450130582147e+08 9.02460268025102e+05 5.21987846504321e+07 5.28275849251086e+07 3.78387967964655e-07 2.96287440943202e-06 
