Species               Population
--------------------------------------------------------------------------------------------------
O2[81.345241%]
 O2(X)                8.83914811727424e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             1.11646158964101e-01
 O2(b1Sg+)            4.39264927458591e-03
 O2(A3Su+_C3Du_c1Su-) 4.63800338892788e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[18.654759%]
 O(3P)                9.99952775260873e-01
 O(1D)                4.72247391270168e-05
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[0.000000%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[0.000000%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99839599774069e-01
 | | CO(X,v=0,J=0)    | | 8.51501948042483e-03
 | | CO(X,v=0,J=1)    | | 2.51459386659410e-02
 | | CO(X,v=0,J=2)    | | 4.06105156732347e-02
 | | CO(X,v=0,J=3)    | | 5.42312224147552e-02
 | | CO(X,v=0,J=4)    | | 6.54692956577554e-02
 | | CO(X,v=0,J=5)    | | 7.39592674710123e-02
 | | CO(X,v=0,J=6)    | | 7.95259702156031e-02
 | | CO(X,v=0,J=7)    | | 8.21832936207511e-02
 | | CO(X,v=0,J=8)    | | 8.21161946084478e-02
 | | CO(X,v=0,J=9)    | | 7.96493171526179e-02
 | | CO(X,v=0,J=10)   | | 7.52068266459567e-02
 | | CO(X,v=0,J=11)   | | 6.92685776445829e-02
 | | CO(X,v=0,J=12)   | | 6.23275217058874e-02
 | | CO(X,v=0,J=13)   | | 5.48524438409415e-02
 | | CO(X,v=0,J=14)   | | 4.72588918526077e-02
 | | CO(X,v=0,J=15)   | | 3.98897670255608e-02
 | | CO(X,v=0,J=16)   | | 3.30057014692934e-02
 | | CO(X,v=0,J=17)   | | 2.67842348546263e-02
 | CO(X,v=1)          | 1.60371552912271e-04
 | CO(X,v=2)          | 2.86673060676245e-08
 | CO(X,v=3)          | 5.71095817235026e-12
 | CO(X,v=4)          | 1.26792516931354e-15
 | CO(X,v=5)          | 3.13718994356969e-19
 | CO(X,v=6)          | 8.65068608882309e-23
 | CO(X,v=7)          | 2.65841536914918e-26
 | CO(X,v=8)          | 9.10453296668009e-30
 | CO(X,v=9)          | 3.47500196111693e-33
 | CO(X,v=10)         | 1.47813800264544e-36
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
