p(Torr) I(mA) Twall Flow(sccm) fracCO2 fracO2 lossFreq(s-1) E/N(Td) Te(eV) n_e(m-3) GasTemp(K) NearWallTemp(K) [O2(X)](m^-3) [O2(a1Dg)](m^-3) [O2(b1Sg+)](m^-3) [O2(+,X)](m^-3) [O(3P)](m^-3) [O(1D)](m^-3) [O(+,gnd)](m^-3) [O(-,gnd)](m^-3) [O3(X)](m^-3) [O3(exc)](m^-3) [CO2(X)](m^-3) [CO2(+,X)](m^-3) [CO(X)](m^-3) [CO(a3P)](m^-3) [CO(+,X)](m^-3) [C(X)](m^-3) 
1 40 323.15 7.796400000000001 0.5 0.5 18.1838829164 71.0897467280828 2.15057176047748 6584825680833336 407.302928054422 333.880999291251 7.91173993333458e+21 6.11459941514343e+20 1.03689174249171e+19 7147833580416950 5.57014504853266e+21 9.362719397370019e+16 9954861928204.68 606828766735063 3.77107436225812e+17 3546543694363240 6.17282990424921e+21 32574422088103.4 3.43094468084437e+21 1.20862489978467e+16 2211095623224.59 738276046824293 
1.5 40 323.15 7.796400000000001 0.5 0.5 18.17667681 65.2822728727994 2.00277639460625 7009037970872783 429.707107849748 337.163852589815 1.20929579435896e+22 9.154227841690249e+20 1.00024583287825e+19 7634878481550460 6.72983547691449e+21 7.43189350158959e+16 3855225753971.21 647600218303960 5.5493900845425e+17 6486404073503150 9.10853482523791e+21 16567148778861.3 4.85042448977487e+21 1.04871076035772e+16 915088067082.054 437117925831443 
2 40 323.15 7.796400000000001 0.5 0.5 19.7014236175 62.1370723038529 1.9194817274834 7275728838531148 449.236427476332 340.1559676209 1.64042320552078e+22 1.20931671282959e+21 9.43660367547812e+18 7965368606785240 7.18108548725817e+21 6.02130155453715e+16 1848777005558.11 702701739108306 6.725689378308401e+17 9416202269331060 1.21262830449744e+22 10732622984852.7 6.0588609807476e+21 9589907056873460 475060654226.955 302401094648107 
3 40 323.15 7.796400000000001 0.5 0.5 21.3497699379 57.7814810601495 1.80825245799331 7644725140889240 480.695136974471 345.318317007465 2.45547904327707e+22 1.73641619414401e+21 8.34539115692393e+18 8412446385135310 7.78453654782815e+21 4.41303172054884e+16 652410363044.556 773797252760623 8.135139896047651e+17 1.45994200997896e+16 1.81532736741464e+22 5792947524367.65 8.02653806525821e+21 8122817891774030 184026667085.243 182300163201382 
5 40 323.15 7.796400000000001 0.5 0.5 25.3847832538 53.248947678716 1.69722166207566 8016113829366172 529.294496210731 354.072652874908 3.97400431001394e+22 2.63304136013205e+21 6.72622519273743e+18 8909285007463180 7.86642462392846e+21 2.82051120654065e+16 164969598608.939 895884957540208 8.9573608726814e+17 2.15990239696924e+16 3.0286253874831e+22 2760657936692.32 1.06854393202852e+22 6274311038265520 52913277640.4169 95197831002121.7 
1 20 323.15 7.796400000000001 0.5 0.5 11.3400213832 70.72384740645499 2.17349353021777 3319016704316528 372.788263676942 328.980963777589 9.47116918807472e+21 5.59879103520747e+20 4.17133248857145e+18 3702296893208480 4.82206313152926e+21 3.52914137707895e+16 2972632126562.71 407550912549235 7.77713185808508e+17 6799897800495740 8.23744640875628e+21 17742724278622.9 2.80666338444226e+21 5039307365015550 570807762641.063 224879990789561 
1.5 20 323.15 7.796400000000001 0.5 0.5 12.7933713908 65.048610743184 2.0313074009324 3527075014809935 387.82420682676 330.881600201913 1.48379055137987e+22 8.592391904647319e+20 3.97063792778295e+18 3964911015640200 5.31713941873428e+21 2.62914855247456e+16 1026913164302.78 448471203512616 1.20337388867006e+18 1.3082032803004e+16 1.22627051002445e+22 9139795589418.199 4.06587660816968e+21 4524048399990060 230185218545.061 131393372521625 
2 20 323.15 7.796400000000001 0.5 0.5 11.5787834566 61.0511789112687 1.93648937865092 3672499249052864 400.016767171081 332.530246801621 1.96222140170102e+22 1.12597074900706e+21 3.80821149391416e+18 4115576704672940 6.24707682604423e+21 2.24063138419119e+16 521606703996.569 448893043664848 1.59546020176804e+18 1.96587631993292e+16 1.60808274709176e+22 5323333388831.88 5.19809068151918e+21 3952564463251260 120362378743.557 92437322751787.5 
3 20 323.15 7.796400000000001 0.5 0.5 14.118825358 56.8727188513742 1.83002821184278 3853028467390938 421.878723220517 335.574053640891 2.98324325509624e+22 1.63345703535309e+21 3.38251831890829e+18 4349935171720250 6.14755350895343e+21 1.55560850742097e+16 164419840933.185 502809850580272 2.00114774030238e+18 3.09233820994892e+16 2.40485571314835e+22 2843702297218.9 6.99836467932899e+21 3387707748381820 45560198387.0796 55154465813546.3 
5 20 323.15 7.796400000000001 0.5 0.5 22.5426210998 52.393181682091 1.71829549770486 4040069733750154 456.300309656532 340.781611850301 4.90543499026323e+22 2.4698649543505e+21 2.72920222213326e+18 4633600121777320 4.96500464092826e+21 8995117323163530 32960953244.7977 595904570750968 2.17447411608841e+18 4.15688261717011e+16 3.99241648312923e+22 1337630048290.71 9.39240738636111e+21 2603154706527130 12696019714.5784 28143584799250.3 
