p(Torr) I(mA) Twall Flow(sccm) fracCO2 fracO2 lossFreq(s-1) E/N(Td) Te(eV) n_e(m-3) GasTemp(K) NearWallTemp(K) [O2(X)](m^-3) [O2(a1Dg)](m^-3) [O2(b1Sg+)](m^-3) [O2(+,X)](m^-3) [O(3P)](m^-3) [O(1D)](m^-3) [O(+,gnd)](m^-3) [O(-,gnd)](m^-3) [O3(X)](m^-3) [O3(exc)](m^-3) [CO2(X)](m^-3) [CO2(+,X)](m^-3) [CO(X)](m^-3) [CO(a3P)](m^-3) [CO(+,X)](m^-3) [C(X)](m^-3) 
1 20 223.15 7.791 0 1 24.4249833645 59.542105526986 2.50949669672774 3122851253445150 288.209800103036 229.506152130538 2.44016645499261e+22 2.56769729945302e+21 1.07082486058059e+20 5326573491007360 6.4260683080538e+21 8.059695599490381e+16 27447957592585 2233774473100870 1.50727806598847e+18 8.91134476731695e+16 0 0 0 0 0 0 
1.5 20 223.15 7.791 0 1 22.8425706884 54.1993674796278 2.42285437826473 3362798965155327 304.192212444925 231.36476111467 3.55362261388154e+22 3.81470824860931e+21 1.27275471592593e+20 5883633992552550 8.13469691424039e+21 7.0156190606277e+16 11593378892705 2535558346425410 2.56243666351914e+18 1.3511677715431e+17 0 0 0 0 0 0 
2 20 223.15 7.791 0 1 22.5505953099 51.2545682602497 2.37322835030339 3523168566919766 318.007857434221 233.057946771809 4.64235005189633e+22 4.95416569424766e+21 1.45210634374829e+20 6354451018756600 9.20289816719523e+21 6.24695381036203e+16 6114445564105.32 2838540166805140 3.53815945492075e+18 1.7206078808353e+17 0 0 0 0 0 0 
3 20 223.15 7.791 0 1 26.354430458 48.3379768158882 2.32138347276343 3714826249527788 342.018549231963 236.182356102705 6.78904506316626e+22 6.87333566403197e+21 1.82410783503347e+20 7259048348736120 9.748835440154619e+21 5.03156385364823e+16 2339516869108.68 3546499458301440 4.75786995883535e+18 2.173191202895e+17 0 0 0 0 0 0 
1 40 223.15 7.791 0 1 25.3356455094 54.0242317410516 2.47270042824062 6545829118783175 318.022657636412 233.593147598606 1.7315467309751e+22 2.88951387885646e+21 1.65681535885695e+20 9044814838327370 9.992226977178129e+21 2.59727643778043e+17 127775633773978 2623546785079730 1.02445251796443e+18 3.22913362046408e+16 0 0 0 0 0 0 
1.5 40 223.15 7.791 0 1 37.2312023573 52.6393657942612 2.42249965480862 6806808390674226 346.020434966446 237.178317966424 2.78742479609499e+22 4.10751176250719e+21 2.15398057954757e+20 1.06009610581754e+16 9.661963038637991e+21 1.88236788789862e+17 43773957011074.6 3833054132029530 1.40163413135175e+18 4.72963713460626e+16 0 0 0 0 0 0 
2 40 223.15 7.791 0 1 38.825845579 50.0904711970778 2.3745025013392 7105781630082964 365.545855042503 239.997540201648 3.64935764837548e+22 5.2980947930043e+21 2.46180740570461e+20 1.14259040433163e+16 1.07924666802513e+22 1.67113570242342e+17 23472368926678.7 4343872561163380 1.83096653414498e+18 5.8166582145911e+16 0 0 0 0 0 0 
3 40 223.15 7.791 0 1 53.375178507 48.1507421594468 2.33249551383207 7417755889617867 400.33308562859 245.331757186054 5.42738937601874e+22 7.24535069362582e+21 3.18366989126353e+20 1.31854045276699e+16 1.05221604511994e+22 1.28161111407783e+17 8717803435355.95 5776018846196990 2.24015710937271e+18 6.82789967700663e+16 0 0 0 0 0 0 
5 40 223.15 7.791 0 1 61.679582069 44.721304804254 2.2723108701951 7918174490405682 448.712177022681 253.784038726116 8.45468742645407e+22 1.07652766410577e+22 4.14914270646219e+20 1.50141596312833e+16 1.18689471370764e+22 1.01901216157407e+17 2904516392297.28 7106225465328120 2.92823714836978e+18 8.28037859415461e+16 0 0 0 0 0 0 
7.5 40 223.15 7.791 0 1 91.4847905586 43.10478842855 2.24282056532454 8221666624043396 497.042938181648 263.143393439548 1.20281907592173e+23 1.40587916928527e+22 5.62876311649701e+20 1.72283148098715e+16 1.07999013142918e+22 7.864169988231981e+16 1116348603558.91 9007392772310220 2.9532506846415e+18 8.249460968064739e+16 0 0 0 0 0 0 
1 20 253.15 7.791 0 1 23.1264899204 60.4635837018445 2.52619007486932 3078077337779348 310.644967438221 259.136577749944 2.23024269199571e+22 2.31207684985558e+21 9.91487341285502e+19 5128278164183680 6.36944745451965e+21 8.61112601290431e+16 35582471540850.5 2088435239268500 1.23174767118419e+18 5.36724267319113e+16 0 0 0 0 0 0 
