Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
7.23379629629630e-03 2.16658864138195e-01 -2.16972957657676e-03 
2.17013888888889e-02 2.16685171987108e-01 -9.75053913120280e-04 
3.61689814814815e-02 2.16708427746952e-01 -3.22793048479063e-04 
5.06365740740741e-02 2.16729457035091e-01 2.68801410484867e-05 
6.51041666666667e-02 2.16748312283936e-01 2.83306081571978e-04 
7.95717592592593e-02 2.16764689280155e-01 4.95624585613402e-04 
9.40393518518519e-02 2.16778580723372e-01 6.89485502784637e-04 
1.08506944444444e-01 2.16789838266778e-01 8.70327114080833e-04 
1.22974537037037e-01 2.16798388191724e-01 1.04649075419364e-03 
1.37442129629630e-01 2.16804010384757e-01 1.75524782462805e-03 
1.51909722222222e-01 2.16792367431653e-01 2.97418760911789e-03 
1.66377314814815e-01 2.16761586270956e-01 3.64792826828569e-03 
1.80844907407407e-01 2.16726007322968e-01 3.84123929705900e-03 
1.95312500000000e-01 2.16684101742501e-01 4.21532238694853e-03 
2.09780092592593e-01 2.16631130079913e-01 4.60496802088126e-03 
2.24247685185185e-01 2.16570883653340e-01 4.75428313521395e-03 
2.38715277777778e-01 2.16507452264048e-01 4.79616285104899e-03 
2.53182870370370e-01 2.16440220102320e-01 6.12745163745377e-03 
2.67650462962963e-01 2.16322254172199e-01 9.11683440430755e-03 
2.82118055555556e-01 2.16134483237544e-01 1.12072037197255e-02 
2.96585648148148e-01 2.15924210403758e-01 1.15269723651702e-02 
3.11053240740741e-01 2.15710970533131e-01 1.18157635166857e-02 
3.25520833333333e-01 2.15477317226086e-01 1.23429536706650e-02 
3.39988425925926e-01 2.15213562233159e-01 1.22127336085483e-02 
3.54456018518519e-01 2.14971757416147e-01 1.18585838532907e-02 
3.68923611111111e-01 2.14730114748704e-01 1.25198132824643e-02 
3.83391203703704e-01 2.14450735474410e-01 1.48916764207976e-02 
3.97858796296296e-01 2.14089413411741e-01 1.73982552926590e-02 
4.12326388888889e-01 2.13680582595761e-01 1.85178709801044e-02 
4.26793981481482e-01 2.13253621866522e-01 1.93247511157849e-02 
4.41261574074074e-01 2.12794126653634e-01 1.92993444454405e-02 
4.55729166666667e-01 2.12267341483976e-01 1.77948605680485e-02 
4.70196759259259e-01 2.11842459586514e-01 1.63694550768533e-02 
4.84664351851852e-01 2.11459558641837e-01 1.60503631917226e-02 
4.99131944444445e-01 2.11071294039407e-01 1.71386336566411e-02 
5.13599537037037e-01 2.10623776456490e-01 1.93370315684077e-02 
5.28067129629630e-01 2.10116038496065e-01 2.09268395876538e-02 
5.42534722222222e-01 2.09581157844025e-01 2.18778581913815e-02 
5.57002314814815e-01 2.09018400896868e-01 2.18538997366254e-02 
5.71469907407407e-01 2.08405208105057e-01 2.01457935047069e-02 
5.85937500000000e-01 2.07841399044050e-01 1.83041794231318e-02 
6.00405092592593e-01 2.07396141272586e-01 1.80513620417165e-02 
6.14872685185185e-01 2.06929302049853e-01 1.93779976766895e-02 
6.29340277777778e-01 2.06428165430070e-01 2.06247749802282e-02 
6.43807870370370e-01 2.05917759935264e-01 2.12301327192339e-02 
6.58275462962963e-01 2.05407615072383e-01 2.17712290342483e-02 
6.72743055555556e-01 2.04892589037014e-01 2.22240209787371e-02 
6.87210648148148e-01 2.04383161204975e-01 2.12717583791773e-02 
7.01678240740741e-01 2.03798844919713e-01 1.95205266617373e-02 
7.16145833333333e-01 2.03388735767354e-01 1.87832656645599e-02 
7.30613425925926e-01 2.02970487159411e-01 1.97249521453346e-02 
7.45081018518519e-01 2.02529317378597e-01 2.03906214585549e-02 
7.59548611111111e-01 2.02084408774758e-01 2.06864666992587e-02 
7.74016203703704e-01 2.01633506399934e-01 2.10500380267260e-02 
7.88483796296296e-01 2.01175927955571e-01 2.07259770839814e-02 
8.02951388888889e-01 2.00670496926277e-01 1.93329061066262e-02 
8.17418981481482e-01 2.00208267158922e-01 1.80127246004190e-02 
8.31886574074074e-01 1.99799437308783e-01 1.78061162656898e-02 
8.46354166666667e-01 1.99359828907454e-01 1.82921014702271e-02 
8.60821759259259e-01 1.98884240631786e-01 1.87660234570334e-02 
8.75289351851852e-01 1.98376264568129e-01 1.90718357791835e-02 
8.89756944444445e-01 1.97839632899923e-01 1.92387828138271e-02 
9.04224537037037e-01 1.97277384060849e-01 1.87252970029847e-02 
9.18692129629630e-01 1.96666481514179e-01 1.76105464998064e-02 
9.33159722222222e-01 1.96147587732068e-01 1.68757680332153e-02 
9.47627314814815e-01 1.95642265431793e-01 1.69460527966687e-02 
9.62094907407408e-01 1.95123884786907e-01 1.72299712663891e-02 
9.76562500000000e-01 1.94590861352380e-01 1.74832157217910e-02 
9.91030092592593e-01 1.94046406343873e-01 1.76549158410645e-02 
1.00549768518519e+00 1.93492257905151e-01 1.77810539014212e-02 
1.01996527777778e+00 1.92930378653779e-01 1.76347090503756e-02 
1.03443287037037e+00 1.92347061710174e-01 1.71119697258838e-02 
1.04890046296296e+00 1.91795259062303e-01 1.67148399531940e-02 
1.06336805555556e+00 1.91260361802629e-01 1.67486816501691e-02 
1.07783564814815e+00 1.90715389295142e-01 1.69156632890047e-02 
1.09230324074074e+00 1.90161646942783e-01 1.70492740245650e-02 
1.10677083333333e+00 1.89599929765955e-01 1.71633442187892e-02 
1.12123842592593e+00 1.89030645389699e-01 1.72702349694074e-02 
1.13570601851852e+00 1.88453769652417e-01 1.72248333280853e-02 
1.15017361111111e+00 1.87861346866160e-01 1.70193712074810e-02 
1.16464120370370e+00 1.87288292157121e-01 1.69560390550019e-02 
1.17910879629630e+00 1.86710662852106e-01 1.70735968809912e-02 
1.19357638888889e+00 1.86124347527443e-01 1.71995637597141e-02 
1.20804398148148e+00 1.85530220304863e-01 1.73124674378665e-02 
1.22251157407407e+00 1.84932037754982e-01 1.74222387520847e-02 
1.23697916666667e+00 1.84329839018536e-01 1.74689004506970e-02 
1.25144675925926e+00 1.83720194498892e-01 1.74511732322172e-02 
1.26591435185185e+00 1.83118308045840e-01 1.74965265041115e-02 
1.28038194444444e+00 1.82513004011241e-01 1.76096896219887e-02 
1.29484953703704e+00 1.81903455085950e-01 1.77211125585755e-02 
1.30931712962963e+00 1.81290196952085e-01 1.78280342597761e-02 
1.32378472222222e+00 1.80674732327314e-01 1.79357903441187e-02 
1.33825231481481e+00 1.80057001057873e-01 1.80292006424217e-02 
1.35271990740741e+00 1.79435877512142e-01 1.80938814129753e-02 
1.36718750000000e+00 1.78814712834755e-01 1.81639135285512e-02 
1.38165509259259e+00 1.78194102320369e-01 1.82678934995033e-02 
1.39612268518519e+00 1.77570929983528e-01 1.83875130315945e-02 
1.41059027777778e+00 1.76945199953413e-01 1.85069045615104e-02 
1.42505787037037e+00 1.76316981040216e-01 1.86242553669975e-02 
1.43952546296296e+00 1.75686399856112e-01 1.87301761468615e-02 
1.45399305555556e+00 1.75052947394209e-01 1.88194457417615e-02 
1.46846064814815e+00 1.74418736758742e-01 1.89093299283782e-02 
1.48292824074074e+00 1.73783661122700e-01 1.90101592960912e-02 
1.49739583333333e+00 1.73146688139500e-01 1.91132713763697e-02 
1.51186342592593e+00 1.72507931847279e-01 1.92140494439710e-02 
1.52633101851852e+00 1.71867467164205e-01 1.93132906493598e-02 
1.54079861111111e+00 1.71225355194049e-01 1.94070426039094e-02 
1.55526620370370e+00 1.70581295200356e-01 1.94933127997267e-02 
1.56973379629630e+00 1.69936469993928e-01 1.95808043474466e-02 
1.58420138888889e+00 1.69290602824830e-01 1.96734667244513e-02 
1.59866898148148e+00 1.68643309584759e-01 1.97669879156083e-02 
1.61313657407407e+00 1.67994647618956e-01 1.98593880474887e-02 
1.62760416666667e+00 1.67344675343029e-01 1.99501676010347e-02 
1.64207175925926e+00 1.66693398522458e-01 2.00373678340737e-02 
1.65653935185185e+00 1.66040842078781e-01 2.01213102935040e-02 
1.67100694444444e+00 1.65387511322519e-01 2.02058953557465e-02 
1.68547453703704e+00 1.64733223324890e-01 2.02918608148485e-02 
1.69994212962963e+00 1.64077890950208e-01 2.03772016288380e-02 
1.71440972222222e+00 1.63421867613421e-01 2.04611452821427e-02 
1.72887731481482e+00 1.62765521423430e-01 2.05435708059658e-02 
1.74334490740741e+00 1.62108923461529e-01 2.06244493104679e-02 
1.75781250000000e+00 1.61452143398662e-01 2.07037995139010e-02 
1.77228009259259e+00 1.60795249779847e-01 2.07816433913302e-02 
1.78674768518519e+00 1.60138309747359e-01 2.08580042341819e-02 
1.80121527777778e+00 1.59481389277750e-01 2.09328106436435e-02 
1.81568287037037e+00 1.58824560379031e-01 2.10058257213319e-02 
1.83015046296296e+00 1.58167904033414e-01 2.10768373738559e-02 
1.84461805555556e+00 1.57511502428256e-01 2.11458247269412e-02 
1.85908564814815e+00 1.56855435462866e-01 2.12128488979919e-02 
1.87355324074074e+00 1.56199780720001e-01 2.12779519988850e-02 
1.88802083333333e+00 1.55544614043522e-01 2.13411697197252e-02 
1.90248842592593e+00 1.54890009399805e-01 2.14025615859781e-02 
