Species               Population
--------------------------------------------------------------------------------------------------
O2[21.294538%]
 O2(X)                9.42936944034470e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             5.68773847803393e-02
 O2(b1Sg+)            1.73571562062663e-04
 O2(A3Su+_C3Du_c1Su-) 1.20996231275593e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[10.929999%]
 O(3P)                9.99898465799897e-01
 O(1D)                1.01534200103001e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[14.267996%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[53.507466%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99927767575510e-01
 | | CO(X,v=0,J=0)    | | 9.12993487322953e-03
 | | CO(X,v=0,J=1)    | | 2.69231254400038e-02
 | | CO(X,v=0,J=2)    | | 4.33558100616612e-02
 | | CO(X,v=0,J=3)    | | 5.76480951744861e-02
 | | CO(X,v=0,J=4)    | | 6.91951400484211e-02
 | | CO(X,v=0,J=5)    | | 7.76083535785837e-02
 | | CO(X,v=0,J=6)    | | 8.27329251084720e-02
 | | CO(X,v=0,J=7)    | | 8.46412500653655e-02
 | | CO(X,v=0,J=8)    | | 8.36049620467966e-02
 | | CO(X,v=0,J=9)    | | 8.00507853360583e-02
 | | CO(X,v=0,J=10)   | | 7.45069343455645e-02
 | | CO(X,v=0,J=11)   | | 6.75471733222869e-02
 | | CO(X,v=0,J=12)   | | 5.97389846179080e-02
 | | CO(X,v=0,J=13)   | | 5.16008216282510e-02
 | | CO(X,v=0,J=14)   | | 4.35714904086989e-02
 | | CO(X,v=0,J=15)   | | 3.59926826387637e-02
 | | CO(X,v=0,J=16)   | | 2.91038946018821e-02
 | | CO(X,v=0,J=17)   | | 2.30476367035670e-02
 | CO(X,v=1)          | 7.22265519728780e-05
 | CO(X,v=2)          | 5.87197955214431e-09
 | CO(X,v=3)          | 5.37318241575502e-13
 | CO(X,v=4)          | 5.53398570857149e-17
 | CO(X,v=5)          | 6.41510663597849e-21
 | CO(X,v=6)          | 8.37007066809692e-25
 | CO(X,v=7)          | 1.22917513913666e-28
 | CO(X,v=8)          | 2.03169171238222e-32
 | CO(X,v=9)          | 3.77973409748560e-36
 | CO(X,v=10)         | 7.91451098407764e-40
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
