Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 4.61411537500000e+02 3.85367691875000e+02 1.00686371228259e+23 1.00686371228259e-02 1.00686371228259e-02 1.00686371228259e-02 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.73967303545445e-17 4.61411537499999e+02 4.06758964331456e+02 1.00686371228259e+23 8.89374374040509e+06 2.11178084057133e+06 2.59541981893431e+06 3.71616218957572e+01 5.98316922218895e+06 6.64961704113687e+05 2.72020348464593e-04 3.39889109596731e+05 1.08016877636789e-06 3.45365027563290e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
7.47934607090889e-17 4.61411537499998e+02 4.06758964331456e+02 1.00686371228259e+23 1.77874874707456e+07 4.22356167114651e+06 5.19083962779775e+06 7.43232437915144e+01 1.19663384444722e+07 1.32992340813302e+06 5.44040696913343e-04 6.79778219192213e+05 3.40914027308966e-06 1.09001282961448e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.12190191063633e-16 4.61411537499997e+02 4.06758964331455e+02 1.00686371228259e+23 2.66812312010901e+07 6.33534250179570e+06 7.78625943665890e+06 1.11484865687271e+02 1.79495076668519e+07 1.99488511205601e+06 8.16061045345917e-04 1.01966732878642e+06 7.01324130842069e-06 2.24236094470852e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.75353769778376e-16 4.61411537499992e+02 4.06758964331454e+02 1.00686371228259e+23 6.54850261173525e+07 1.55491351128992e+07 1.91101901724519e+07 2.73622655859588e+02 4.40543380400792e+07 4.89614226080578e+06 2.00289778497792e-03 2.50261845743497e+06 3.66607335420384e-05 1.17216267751981e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.38517348493119e-16 4.61411537499987e+02 4.06758964331451e+02 1.00686371228258e+23 1.04288821033692e+08 2.47629277253859e+07 3.04341209082024e+07 4.35760446031903e+02 7.01591684151070e+07 7.79739940775497e+06 3.18973452430758e-03 3.98556958605969e+06 9.01394840097592e-05 2.88205195918413e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
6.01680927207861e-16 4.61411537499982e+02 4.06758964331448e+02 1.00686371228258e+23 1.43092615950109e+08 3.39767203392776e+07 4.17580516439095e+07 5.97898236204216e+02 9.62639987919638e+07 1.06986565528752e+07 4.37657126333014e-03 5.46852071466019e+06 1.67825859016085e-04 5.36593759222868e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
7.64844505922604e-16 4.61411537499977e+02 4.06758964331444e+02 1.00686371228258e+23 1.81896410866605e+08 4.31905129545820e+07 5.30819823795732e+07 7.60036026376527e+02 1.22368829170660e+08 1.35999136961563e+07 5.56340800204390e-03 6.95147184323635e+06 2.69852685700712e-04 8.62806649162581e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.24908761889896e-15 4.61411537499963e+02 4.06758964331441e+02 1.00686371228258e+23 2.97059798393097e+08 7.05355592869671e+07 8.66895773693311e+07 1.24123476486099e+03 1.99843743778707e+08 2.22103756626384e+07 9.08574749214057e-03 1.13526309531720e+07 7.16143091388936e-04 2.28974197331387e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.73333073187531e-15 4.61411537499949e+02 4.06758964331432e+02 1.00686371228258e+23 4.12223185920281e+08 9.78806056318085e+07 1.20297172358705e+08 1.72243350334545e+03 2.77318658402970e+08 3.08208376129050e+07 1.26080869795145e-02 1.57537900628930e+07 1.37705017464689e-03 4.40287649553913e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.21757384485166e-15 4.61411537499934e+02 4.06758964331422e+02 1.00686371228258e+23 5.27386573448158e+08 1.25225651989107e+08 1.53904767347696e+08 2.20363224182988e+03 3.54793573043448e+08 3.94312995469558e+07 1.61304264641657e-02 2.01549491723994e+07 2.25258060925256e-03 7.20223155424505e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.70181695782802e-15 4.61411537499920e+02 4.06758964331412e+02 1.00686371228257e+23 6.42549960976725e+08 1.52570698358861e+08 1.87512362336304e+08 2.68483098031431e+03 4.32268487700141e+08 4.80417614647907e+07 1.96527659460940e-02 2.45561082816910e+07 3.34273287943044e-03 1.06878023031821e-06 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
7.54424808759154e-15 4.61411537499776e+02 4.06758964331403e+02 1.00686371228255e+23 1.79418383630045e+09 4.26021162741517e+08 5.23588312201284e+08 7.49681836515772e+03 1.20701763515890e+09 1.34146379751281e+08 5.48761606156261e-02 6.85676993628010e+07 2.60483276496750e-02 8.32849607223173e-06 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.23866792173551e-14 4.61411537499633e+02 4.06758964331307e+02 1.00686371228253e+23 2.94581771169336e+09 6.99471628369826e+08 8.59664262027915e+08 1.23088057499997e+04 1.98176678423917e+09 2.20250996416205e+08 9.00995550128821e-02 1.12579290422444e+08 7.02159141546729e-02 2.24503075047488e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
