Species               Population
--------------------------------------------------------------------------------------------------
O2[21.404366%]
 O2(X)                9.41183761688811e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             5.86245701555382e-02
 O2(b1Sg+)            1.78816047166198e-04
 O2(A3Su+_C3Du_c1Su-) 1.28521084841591e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[11.190596%]
 O(3P)                9.99888175203798e-01
 O(1D)                1.11824796202210e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[13.429059%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[53.975979%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99927868348382e-01
 | | CO(X,v=0,J=0)    | | 9.13102300220945e-03
 | | CO(X,v=0,J=1)    | | 2.69262664592797e-02
 | | CO(X,v=0,J=2)    | | 4.33606500253357e-02
 | | CO(X,v=0,J=3)    | | 5.76540954552536e-02
 | | CO(X,v=0,J=4)    | | 6.92016457391905e-02
 | | CO(X,v=0,J=5)    | | 7.76146738610501e-02
 | | CO(X,v=0,J=6)    | | 8.27384136783456e-02
 | | CO(X,v=0,J=7)    | | 8.46453744239684e-02
 | | CO(X,v=0,J=8)    | | 8.36073530172191e-02
 | | CO(X,v=0,J=9)    | | 8.00512619325664e-02
 | | CO(X,v=0,J=10)   | | 7.45055033239960e-02
 | | CO(X,v=0,J=11)   | | 6.75440065703097e-02
 | | CO(X,v=0,J=12)   | | 5.97343803738128e-02
 | | CO(X,v=0,J=13)   | | 5.15951569854877e-02
 | | CO(X,v=0,J=14)   | | 4.35651726200593e-02
 | | CO(X,v=0,J=15)   | | 3.59861056009802e-02
 | | CO(X,v=0,J=16)   | | 2.90974049832051e-02
 | | CO(X,v=0,J=17)   | | 2.30415119477306e-02
 | CO(X,v=1)          | 7.21257953741424e-05
 | CO(X,v=2)          | 5.85570886019156e-09
 | CO(X,v=3)          | 5.35100373347732e-13
 | CO(X,v=4)          | 5.50374051022269e-17
 | CO(X,v=5)          | 6.37158619847523e-21
 | CO(X,v=6)          | 8.30240841761010e-25
 | CO(X,v=7)          | 1.21766421212639e-28
 | CO(X,v=8)          | 2.01010113135088e-32
 | CO(X,v=9)          | 3.73486743431772e-36
 | CO(X,v=10)         | 7.81086969342424e-40
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
