Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 2.97222834506000e+02 2.72982775527700e+02 1.53232716844035e+20 1.53232716844035e-05 1.53232716844035e-05 1.53232716844035e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.05242703639529e-14 2.97222834391238e+02 2.74076838842583e+02 1.53232716844017e+20 6.10455939748021e+06 1.43545730472518e+06 2.70432675969926e+06 5.74759554054844e+03 1.11153883730301e+07 3.35607893021207e+06 2.11014567024496e+00 3.19580928500314e+05 8.48168594238059e-07 1.80380927479903e-12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.10485407279057e-14 2.97222834276475e+02 2.74076838781825e+02 1.53232716844000e+20 1.22091187949540e+07 2.87091460967687e+06 5.40865351747317e+06 1.14951910810913e+04 2.22307767499025e+07 6.71215785657823e+06 4.22029134053485e+00 6.39161856999346e+05 2.67692028899347e-06 5.69303518319821e-12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
6.15728110918586e-14 2.97222834161713e+02 2.74076838721067e+02 1.53232716843982e+20 1.83136781924369e+07 4.30637191487550e+06 8.11298027329680e+06 1.72427866216283e+04 3.33461651306983e+07 1.00682367790174e+07 6.33043701087059e+00 9.58742785497070e+05 5.50692739115950e-06 1.17116417469137e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.58637319674075e-13 2.97222833618972e+02 2.74076838660309e+02 1.53232716843898e+20 4.71836963476589e+07 1.10950155798391e+07 2.09024311252124e+07 4.44246316654306e+04 8.59136714426585e+07 2.59399898094111e+07 1.63098540087932e+01 2.47012249481039e+06 3.16116843422959e-05 6.72289095456478e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.55701828256292e-13 2.97222833076232e+02 2.74076838372970e+02 1.53232716843815e+20 7.60537145030811e+07 1.78836592502344e+07 3.36918819342300e+07 7.16064767091064e+04 1.38481177840916e+08 4.18117427534272e+07 2.62892710077247e+01 3.98150220409493e+06 7.97398788095599e-05 1.69583659570972e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.52766336838509e-13 2.97222832533491e+02 2.74076838085630e+02 1.53232716843731e+20 1.04923732658706e+08 2.46723029261403e+07 4.64813326997243e+07 9.87883217526539e+04 1.91048684326727e+08 5.76834956098071e+07 3.62686880076797e+01 5.49288191335027e+06 1.50212441945322e-04 3.19458419999137e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.49830845420726e-13 2.97222831990751e+02 2.74076837798291e+02 1.53232716843648e+20 1.33793750814536e+08 3.14609466075850e+07 5.92707834214750e+07 1.25970166796072e+05 2.43616190900537e+08 7.35552483781071e+07 4.62481050086634e+01 7.00426162257628e+06 2.43142525696782e-04 5.17093832753453e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
7.53715628546725e-13 2.97222830291565e+02 2.74076837510951e+02 1.53232716843387e+20 2.24178581834671e+08 5.27144979464688e+07 9.93113655885568e+07 2.11069748574782e+05 4.08191952147180e+08 1.23245749704800e+08 7.74911722843353e+01 1.17360147818859e+07 6.79462214181314e-04 1.44501963805019e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.05760041167272e-12 2.97222828592380e+02 2.74076836611363e+02 1.53232716843126e+20 3.14563412856808e+08 7.39680493396923e+07 1.39351947326469e+08 2.96169330352227e+05 5.72767714257171e+08 1.72936250167340e+08 1.08734239570100e+02 1.64677679409077e+07 1.33611285147898e-03 2.84152567748791e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.36148519479872e-12 2.97222826893195e+02 2.74076835711775e+02 1.53232716842864e+20 4.04948243880948e+08 9.52216007872572e+07 1.79392528635199e+08 3.81268912128406e+05 7.37343477230537e+08 2.22626749765699e+08 1.39977306865957e+02 2.11995210996415e+07 2.21310139846830e-03 4.70662676852240e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.66536997792472e-12 2.97222825194010e+02 2.74076834812187e+02 1.53232716842603e+20 4.95333074907090e+08 1.16475152289163e+08 2.19433109514749e+08 4.66368493903319e+05 9.01919241067271e+08 2.72317248499881e+08 1.71220374171908e+02 2.59312742580875e+07 3.31042665364400e-03 7.04032037001246e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
