Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 3.67690633100000e+02 3.43193284895000e+02 1.98327620119787e+20 1.98327620119787e-05 1.98327620119787e-05 1.98327620119787e-05 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.78888582295011e-14 3.67690633009888e+02 3.47937856765873e+02 1.98327620119768e+20 7.00001809958629e+06 1.64699479598808e+06 3.02893354558629e+06 5.21596272658753e+03 1.20507657808827e+07 3.50218977675733e+06 1.62476486374902e+00 3.60781099813958e+05 1.08016877637247e-06 1.86207246463450e-12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.57777164590023e-14 3.67690632919775e+02 3.47937856713364e+02 1.98327620119748e+20 1.40000361991633e+07 3.29398959222947e+06 6.05786708914071e+06 1.04319254531704e+04 2.41015315656091e+07 7.00437954966822e+06 3.24952972752366e+00 7.21562199626373e+05 3.40914027311387e-06 5.87692069224208e-12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.36665746885034e-14 3.67690632829663e+02 3.47937856660855e+02 1.98327620119728e+20 2.10000542987512e+07 4.94098438874978e+06 9.08680063064066e+06 1.56478881797487e+04 3.61522973542601e+07 1.05065693186516e+07 4.87429459132447e+00 1.08234329943721e+06 7.01324130849099e-06 1.20899287442402e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.31716449630858e-13 3.67690632436499e+02 3.47937856608346e+02 1.98327620119643e+20 5.15414410244928e+07 1.21268950994514e+07 2.23021708174101e+07 3.84053628765475e+04 8.87303183471979e+07 2.57867772122798e+07 1.19632151254681e+01 2.65644709970412e+06 3.66607335369439e-05 6.31984039272241e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.09766324573213e-13 3.67690632043335e+02 3.47937856379248e+02 1.98327620119557e+20 8.20828277504362e+07 1.93128058153658e+07 3.55175409657831e+07 6.11628375732582e+04 1.41308339413485e+08 4.10669850325054e+07 1.90521356601007e+01 4.23055089994159e+06 9.01394839941905e-05 1.55388912846357e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.87816199515568e-13 3.67690631650171e+02 3.47937856150150e+02 1.98327620119471e+20 1.12624214476585e+08 2.64987165365750e+07 4.87329110751533e+07 8.39203122698796e+04 1.93886360554281e+08 5.63471927781692e+07 2.61410561952300e+01 5.80465470014915e+06 1.67825858985607e-04 2.89310262958021e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.65866074457922e-13 3.67690631257007e+02 3.47937855921051e+02 1.98327620119386e+20 1.43165601202939e+08 3.36846272631083e+07 6.19482811453067e+07 1.06677786966411e+05 2.46464381769993e+08 7.16274004488622e+07 3.32299767308587e+01 7.37875850032665e+06 2.69852685651832e-04 4.65191431435038e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.97505479634879e-13 3.67690630090160e+02 3.47937855691953e+02 1.98327620119131e+20 2.33807497296842e+08 5.50112480940569e+07 1.01169361851204e+08 1.74218291110539e+05 4.02507445301545e+08 1.16976584979118e+08 5.42687463337865e+01 1.20504439862466e+07 7.16143089967153e-04 1.23453887511005e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
8.29144884811834e-13 3.67690628923313e+02 3.47937855012027e+02 1.98327620118877e+20 3.24449393392562e+08 7.63378689719487e+07 1.40390442211316e+08 2.41758795253875e+05 5.58550509493661e+08 1.62325768848334e+08 7.53075159411177e+01 1.67221294719015e+07 1.37705017083946e-03 2.37385796401410e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.06078428998879e-12 3.67690627756466e+02 3.47937854332100e+02 1.98327620118623e+20 4.15091289490099e+08 9.76644898967854e+07 1.79611522225631e+08 3.09299299396418e+05 7.14593574346360e+08 2.07674952056491e+08 9.63462855528526e+01 2.13938149572913e+07 2.25258060207105e-03 3.88316020836417e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.29242369516575e-12 3.67690626589619e+02 3.47937853652174e+02 1.98327620118368e+20 5.05733185589454e+08 1.18991110868567e+08 2.18832601894152e+08 3.76839803538169e+05 8.70636639859638e+08 2.53024134603591e+08 1.17385055168991e+02 2.60655004424159e+07 3.34273286791152e-03 5.76244300080420e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.60881774693531e-12 3.67690614921152e+02 3.47937852972247e+02 1.98327620115826e+20 1.41215214668297e+09 3.32257323168294e+08 6.11043379560887e+08 1.05224484491208e+06 2.43106733132387e+09 7.06515923716951e+08 3.27772751572567e+02 7.27823552790819e+07 2.60483275508646e-02 4.49039809216623e-08 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.92521179870487e-12 3.67690603252688e+02 3.47937846172983e+02 1.98327620113283e+20 2.31857110795824e+09 5.45523540162426e+08 1.00325412264851e+09 1.72764988620672e+06 3.99149808884541e+09 1.16000764672537e+09 5.38160448416495e+02 1.19499210089237e+08 7.02159139008640e-02 1.21043249409373e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
8.24160585047443e-12 3.67690591584227e+02 3.47937839373721e+02 1.98327620110740e+20 3.22499006941527e+09 7.58789761850955e+08 1.39546483115707e+09 2.40305492742209e+06 5.55192891242419e+09 1.61349930362892e+09 7.48548145700773e+02 1.66216064872882e+08 1.35845473357171e-01 2.34180221805192e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.05579999022440e-11 3.67690579915769e+02 3.47937832574461e+02 1.98327620108197e+20 4.13140903105404e+09 9.72055988233881e+08 1.78767550508656e+09 3.07845996855820e+06 7.11235980206019e+09 2.06699089442761e+09 9.58935843425402e+02 2.12932919630017e+08 2.22937002939723e-01 3.84314898562347e-07 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
3.37219404199396e-11 3.67690463231364e+02 3.47937825775203e+02 1.98327620082768e+20 1.31955986574383e+10 3.10471851025466e+09 5.70978034253415e+09 9.83251037555960e+06 2.27166723315635e+10 6.60190316665147e+09 3.06281284489100e+03 6.80101465743291e+08 2.27426072398349e+00 3.92053754645392e-06 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
