Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
2.82118055555556e+00 1.11157787414871e-01 2.35510255573690e-02 
2.83854166666667e+00 1.10549078931015e-01 2.35115922586433e-02 
2.85590277777778e+00 1.09942135481626e-01 2.34706873658679e-02 
2.87326388888889e+00 1.09336993695709e-01 2.34283087192297e-02 
2.89062500000000e+00 1.08733689246288e-01 2.33844845790660e-02 
2.90798611111111e+00 1.08132257012903e-01 2.33392448329871e-02 
2.92534722222222e+00 1.07532757563736e-01 2.32926267157933e-02 
2.94270833333333e+00 1.06935224507367e-01 2.32446655700799e-02 
2.96006944444445e+00 1.06339689489222e-01 2.31953880462715e-02 
2.97743055555556e+00 1.05746183348753e-01 2.31448190698822e-02 
2.99479166666667e+00 1.05154736154715e-01 2.30929919688982e-02 
3.01215277777778e+00 1.04565364057995e-01 2.30399570329057e-02 
3.02951388888889e+00 1.03978043709661e-01 2.29857915037277e-02 
3.04687500000000e+00 1.03392795560582e-01 2.29306059692493e-02 
3.06423611111111e+00 1.02809640506720e-01 2.28744953178444e-02 
3.08159722222222e+00 1.02228598471426e-01 2.28174960957020e-02 
3.09895833333333e+00 1.01649688965960e-01 2.27596258622679e-02 
3.11631944444445e+00 1.01072921417396e-01 2.27009083898816e-02 
3.13368055555556e+00 1.00498302031535e-01 2.26413682909601e-02 
3.15104166666667e+00 9.99258483616219e-02 2.25810274650082e-02 
3.16840277777778e+00 9.93555773433375e-02 2.25199066912419e-02 
3.18576388888889e+00 9.87875053109233e-02 2.24580301895612e-02 
3.20312500000000e+00 9.82216477848842e-02 2.23954346513167e-02 
3.22048611111111e+00 9.76586114457791e-02 2.23321471673109e-02 
3.23784722222222e+00 9.70986851531008e-02 2.22681912243528e-02 
3.25520833333333e+00 9.65418809855424e-02 2.22035180787430e-02 
3.27256944444445e+00 9.59882094461614e-02 2.21381024626716e-02 
3.28993055555556e+00 9.54376804062654e-02 2.20719607858516e-02 
3.30729166666667e+00 9.48903032460532e-02 2.20051329300439e-02 
3.32465277777778e+00 9.43448031212600e-02 2.19377255971901e-02 
3.34201388888889e+00 9.38010841273761e-02 2.18696777779657e-02 
3.35937500000000e+00 9.32591617666927e-02 2.18010005075224e-02 
3.37673611111111e+00 9.27190510724683e-02 2.17317117094529e-02 
3.39409722222222e+00 9.21807666409337e-02 2.16618261564108e-02 
3.41145833333333e+00 9.16443183625284e-02 2.15913605129503e-02 
3.42881944444445e+00 9.11096970477951e-02 2.15203628178483e-02 
3.44618055555556e+00 9.05769121414349e-02 2.14489054254852e-02 
3.46354166666667e+00 9.00459733425109e-02 2.13770444396631e-02 
3.48090277777778e+00 8.95168899063228e-02 2.13048040161710e-02 
3.49826388888889e+00 8.89896708459135e-02 2.12321929452864e-02 
3.51562500000000e+00 8.84643171998566e-02 2.11592173431780e-02 
3.53298611111111e+00 8.79408261133456e-02 2.10858826968196e-02 
3.55034722222222e+00 8.74192062528555e-02 2.10121976099621e-02 
3.56770833333333e+00 8.68994659751883e-02 2.09381739423069e-02 
3.58506944444445e+00 8.63816133363360e-02 2.08638261690576e-02 
3.60243055555556e+00 8.58656559260336e-02 2.07891789941851e-02 
3.61979166666667e+00 8.53515754339232e-02 2.07142604330744e-02 
3.63715277777778e+00 8.48393651959376e-02 2.06390868946981e-02 
3.65451388888889e+00 8.43290334684414e-02 2.05636909245107e-02 
3.67187500000000e+00 8.38205851088216e-02 2.04881224724200e-02 
3.68923611111111e+00 8.33140238183155e-02 2.04124067838417e-02 
3.70659722222222e+00 8.28093531949676e-02 2.03365487423399e-02 
3.72395833333333e+00 8.23062445424973e-02 2.02605793446396e-02 
3.74131944444445e+00 8.18046584251652e-02 2.01844731323409e-02 
3.75868055555556e+00 8.13046013217740e-02 2.01082072917605e-02 
3.77604166666667e+00 8.08060802543540e-02 2.00317733474348e-02 
3.79340277777778e+00 8.03091021471334e-02 1.99551841212519e-02 
3.81076388888889e+00 7.98136764942135e-02 1.98785039893792e-02 
3.82812500000000e+00 7.93198296008428e-02 1.98018790633623e-02 
3.84548611111111e+00 7.88275579673157e-02 1.97255085046961e-02 
3.86284722222222e+00 7.83368545352395e-02 1.96495411540174e-02 
3.88020833333333e+00 7.78477105142812e-02 1.95740207620031e-02 
3.89756944444445e+00 7.73601171696273e-02 1.94989444897998e-02 
3.91493055555556e+00 7.68740640198324e-02 1.94243155539822e-02 
3.93229166666667e+00 7.63895389718704e-02 1.93501524920240e-02 
3.94965277777778e+00 7.59065323926330e-02 1.92765051185775e-02 
3.96701388888889e+00 7.54250327966796e-02 1.92034377630088e-02 
3.98437500000000e+00 7.49450272335489e-02 1.91309742979182e-02 
4.00173611111111e+00 7.44665029612263e-02 1.90590114068570e-02 
4.01909722222222e+00 7.39896217205360e-02 1.89872893095830e-02 
4.03645833333333e+00 7.35144953582156e-02 1.89156759850316e-02 
4.05381944444445e+00 7.30411228573005e-02 1.88442947067041e-02 
4.07118055555556e+00 7.25694960247765e-02 1.87732825619028e-02 
4.08854166666667e+00 7.20996049194734e-02 1.87026715716021e-02 
4.10590277777778e+00 7.16314397149673e-02 1.86324845139955e-02 
4.12326388888889e+00 7.11644268084946e-02 1.85628002367473e-02 
4.14062500000000e+00 7.06984518209361e-02 1.84935395477558e-02 
4.15798611111111e+00 7.02335108873592e-02 1.84245691704026e-02 
4.17534722222222e+00 6.97696034904201e-02 1.83558062104985e-02 
4.19270833333333e+00 6.93067278823924e-02 1.82872090939729e-02 
4.21006944444445e+00 6.88449305239753e-02 1.82187261641325e-02 
4.22743055555556e+00 6.83848058555719e-02 1.81503216795634e-02 
4.24479166666667e+00 6.79263495974929e-02 1.80820855074698e-02 
4.26215277777778e+00 6.74695570564032e-02 1.80140368321539e-02 
4.27951388888889e+00 6.70144239334175e-02 1.79461735740201e-02 
4.29687500000000e+00 6.65609459646289e-02 1.78784851431225e-02 
4.31423611111111e+00 6.61091257365306e-02 1.78109349818863e-02 
4.33159722222222e+00 6.56589742015924e-02 1.77435167459681e-02 
4.34895833333333e+00 6.52104877506935e-02 1.76763229858725e-02 
4.36631944444445e+00 6.47636591038935e-02 1.76094604490762e-02 
4.38368055555556e+00 6.43184791683747e-02 1.75429623538686e-02 
4.40104166666667e+00 6.38749389544621e-02 1.74767580329701e-02 
4.41840277777778e+00 6.34330083133651e-02 1.74106713988519e-02 
4.43576388888889e+00 6.29926680809002e-02 1.73445979073703e-02 
4.45312500000000e+00 6.25539179160203e-02 1.72785811097178e-02 
4.47048611111111e+00 6.21167559872473e-02 1.72126546434761e-02 
4.48784722222222e+00 6.16811807787526e-02 1.71468128744467e-02 
4.50520833333333e+00 6.12471907462136e-02 1.70810731309715e-02 
4.52256944444445e+00 6.08147116446238e-02 1.70154879455602e-02 
4.53993055555556e+00 6.03837222623770e-02 1.69501468129290e-02 
4.55729166666667e+00 5.99542161809073e-02 1.68851656575054e-02 
4.57465277777778e+00 5.95261840549355e-02 1.68206030193311e-02 
4.59201388888889e+00 5.90996163081114e-02 1.67564596574473e-02 
4.60937500000000e+00 5.86745036146655e-02 1.66927026847529e-02 
4.62673611111111e+00 5.82508400518033e-02 1.66292593557184e-02 
4.64409722222222e+00 5.78286213881308e-02 1.65659654890191e-02 
4.66145833333333e+00 5.74078487183959e-02 1.65025991637175e-02 
4.67881944444445e+00 5.69885277560671e-02 1.64390629140189e-02 
4.69618055555556e+00 5.65706640529434e-02 1.63753418695459e-02 
4.71354166666667e+00 5.61542563462325e-02 1.63113401149366e-02 
4.73090277777778e+00 5.57392953599404e-02 1.62469184436619e-02 
4.74826388888889e+00 5.53257952643783e-02 1.61820034596445e-02 
4.76562500000000e+00 5.49137705548106e-02 1.61165827584485e-02 
4.78298611111111e+00 5.45032358610470e-02 1.60506616084203e-02 
4.80034722222222e+00 5.40942054169556e-02 1.59842473922309e-02 
4.81770833333333e+00 5.36867106478913e-02 1.59173435121443e-02 
4.83506944444445e+00 5.32807810766305e-02 1.58499777905182e-02 
4.85243055555556e+00 5.28764287873163e-02 1.57821967292206e-02 
4.86979166666667e+00 5.24736652333472e-02 1.57140353286870e-02 
4.88715277777778e+00 5.20725012401469e-02 1.56455111473790e-02 
4.90451388888889e+00 5.16729473826436e-02 1.55766179374109e-02 
4.92187500000000e+00 5.12750398835367e-02 1.55073433138135e-02 
4.93923611111111e+00 5.08787975188914e-02 1.54377147388847e-02 
4.95659722222222e+00 5.04842298321094e-02 1.53677697798877e-02 
4.97395833333333e+00 5.00913457534822e-02 1.52975224569780e-02 
4.99131944444445e+00 4.97001541052425e-02 1.52269808729992e-02 
5.00868055555556e+00 4.93106634044679e-02 1.51562336514957e-02 
5.02604166666667e+00 4.89224393042731e-02 1.50854544074715e-02 
5.04340277777778e+00 4.85354873875667e-02 1.50146165249733e-02 
5.06076388888889e+00 4.81498153392309e-02 1.49436625623237e-02 
5.07812500000000e+00 4.77654317507334e-02 1.48725794684215e-02 
5.09548611111111e+00 4.73823450252248e-02 1.48013733088615e-02 
5.11284722222222e+00 4.70006367035017e-02 1.47300422694974e-02 
5.13020833333333e+00 4.66205450482057e-02 1.46585972843104e-02 
5.14756944444445e+00 4.62420741464822e-02 1.45871138316119e-02 
5.16493055555556e+00 4.58652264084095e-02 1.45156371675007e-02 
5.18229166666667e+00 4.54900035530593e-02 1.44441831671746e-02 
5.19965277777778e+00 4.51164071453809e-02 1.43727675962800e-02 
5.21701388888889e+00 4.47443891388801e-02 1.43014423628032e-02 
5.23437500000000e+00 4.43738963501889e-02 1.42302638426918e-02 
5.25173611111111e+00 4.40049277197196e-02 1.41592461071916e-02 
5.26909722222222e+00 4.36374823205108e-02 1.40883851003777e-02 
5.28645833333333e+00 4.32715592888659e-02 1.40176797709401e-02 
5.30381944444445e+00 4.29071577417137e-02 1.39471243188351e-02 
5.32118055555556e+00 4.25441331962778e-02 1.38767256900567e-02 
5.33854166666667e+00 4.21824308473798e-02 1.38064745954299e-02 
5.35590277777778e+00 4.18220521373431e-02 1.37363578380793e-02 
5.37326388888889e+00 4.14629988895413e-02 1.36663666937555e-02 
5.39062500000000e+00 4.11052729738689e-02 1.35965022922209e-02 
5.40798611111111e+00 4.07488761211725e-02 1.35267271200041e-02 
5.42534722222222e+00 4.03938151605500e-02 1.34569739172055e-02 
5.44270833333333e+00 4.00400960423835e-02 1.33872323105189e-02 
5.46006944444445e+00 3.96877234603442e-02 1.33175254141940e-02 
5.47743055555556e+00 3.93367014226091e-02 1.32478629443213e-02 
5.49479166666667e+00 3.89870337762718e-02 1.31782456860401e-02 
5.51215277777778e+00 3.86387815472488e-02 1.31086254554319e-02 
5.52951388888889e+00 3.82921773102959e-02 1.30389010580107e-02 
5.54687500000000e+00 3.79472265702669e-02 1.29690507369157e-02 
5.56423611111111e+00 3.76039348153444e-02 1.28990845663757e-02 
5.58159722222222e+00 3.72623070217521e-02 1.28290165970460e-02 
5.59895833333333e+00 3.69223479230695e-02 1.27588534622529e-02 
5.61631944444445e+00 3.65840217723848e-02 1.26886176734564e-02 
5.63368055555556e+00 3.62472817068530e-02 1.26183848782728e-02 
5.65104166666667e+00 3.59121296553591e-02 1.25482664598457e-02 
5.66840277777778e+00 3.55785641036663e-02 1.24783376441978e-02 
5.68576388888889e+00 3.52465826161396e-02 1.24086159651069e-02 
5.70312500000000e+00 3.49161827170143e-02 1.23391065017223e-02 
5.72048611111111e+00 3.45874218907786e-02 1.22697778456279e-02 
5.73784722222222e+00 3.42603265572317e-02 1.22004889312168e-02 
5.75520833333333e+00 3.39349008710998e-02 1.21310477631233e-02 
5.77256944444445e+00 3.36111532236496e-02 1.20613775875732e-02 
5.78993055555556e+00 3.32890918234139e-02 1.19914883499771e-02 
5.80729166666667e+00 3.29687245392471e-02 1.19213289974110e-02 
5.82465277777778e+00 3.26499872728395e-02 1.18508289035185e-02 
5.84201388888889e+00 3.23328874179346e-02 1.17800510136114e-02 
5.85937500000000e+00 3.20174337145211e-02 1.17091449029006e-02 
5.87673611111111e+00 3.17036311484930e-02 1.16381745803568e-02 
5.89409722222222e+00 3.13914844353015e-02 1.15671573420007e-02 
5.91145833333333e+00 3.10809039808468e-02 1.14961713594371e-02 
5.92881944444445e+00 3.07714033001439e-02 1.14253623277102e-02 
5.94618055555556e+00 3.04629881482800e-02 1.13547194210070e-02 
5.96354166666667e+00 3.01556642535587e-02 1.12842466612885e-02 
5.98090277777778e+00 2.98494369526425e-02 1.12139535609093e-02 
5.99826388888889e+00 2.95443113538173e-02 1.11437915906312e-02 
6.01562500000000e+00 2.92402989983676e-02 1.10735849059120e-02 
6.03298611111111e+00 2.89374199024027e-02 1.10031307921656e-02 
6.05034722222222e+00 2.86356923346417e-02 1.09323495500511e-02 
6.06770833333333e+00 2.83351355265978e-02 1.08612537704382e-02 
6.08506944444445e+00 2.80357680004844e-02 1.07898671057436e-02 
