Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 6.06771416000000e+02 4.50779637200000e+02 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 4.07355360858818e+22 4.07355360858818e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.21370816788285e-14 6.06771415997578e+02 4.99057519699845e+02 1.08016912664235e-06 1.58253348789573e-20 3.18695329922826e-21 4.24899318782423e-21 6.40011667600736e-18 1.03743096414281e+07 4.71371060859407e+07 7.49775511103024e-12 3.36358216200032e+06 6.78728081433010e-32 2.89160795675387e-65 4.07355360858815e+22 2.67110284524228e+08 3.26199323529851e+04 5.05006916828939e+07 1.03743062064774e+07 1.78744320822015e-11 6.77772951922426e-10 
4.42741633576570e-14 6.06771415995155e+02 4.99057519698034e+02 3.40914178426934e-06 6.82425892617713e-20 1.37428968801187e-20 1.83226642030766e-20 2.84737366977654e-17 2.07486231627905e+07 9.42742083494181e+07 2.36637987609446e-11 6.72716431216270e+06 3.49960217515239e-31 2.64759040766735e-64 4.07355360858812e+22 5.34220566690726e+08 6.52398647022495e+04 1.01001383502698e+08 2.07486123216803e+07 5.64138037184104e-11 2.13913153039808e-09 
6.64112450364855e-14 6.06771415992733e+02 4.99057519696223e+02 7.01324527719502e-06 1.79175482416283e-19 3.60828951510324e-20 4.81073803486760e-20 7.60735366282376e-17 3.11229406458822e+07 1.41411306709849e+08 4.86808702035587e-11 1.00907464502376e+07 1.47566851350663e-30 2.74960237154723e-63 4.07355360858809e+22 8.01330846453949e+08 9.78597970477150e+04 1.51502075462298e+08 3.11229183436845e+07 1.16053747743603e-10 4.40059503347293e-09 
1.62995711283194e-13 6.06771415982163e+02 4.99057519694412e+02 3.66605199085051e-05 1.97860577763714e-18 3.98457571221443e-19 5.31241994690771e-19 8.71865405168923e-16 7.63863086398475e+07 3.47071231004919e+08 2.54470499362088e-10 2.47661127552749e+07 5.51861562655501e-29 7.65559522865039e-61 4.07355360858794e+22 1.96673754248352e+09 2.40181120128229e+05 3.71837460341036e+08 7.63861920590786e+07 6.06649506311403e-10 2.30033318129234e-08 
2.59580177529903e-13 6.06771415971594e+02 4.99057519686510e+02 9.01388269733761e-05 6.96950709360676e-18 1.40354029752184e-18 1.87126454979979e-18 3.09833665940058e-15 1.21649750674742e+08 5.52731082355783e+08 6.25677196087516e-10 3.94414788344083e+07 2.88195927100460e-28 8.47220311271284e-60 4.07355360858780e+22 3.13214419359817e+09 3.82502443137744e+05 5.92172847832437e+08 1.21649464032677e+08 1.49159315206730e-09 5.65592730736566e-08 
3.56164643776611e-13 6.06771415961025e+02 4.99057519678609e+02 1.67824569441507e-04 1.69123565131046e-17 3.40586130284111e-18 4.54085099068970e-18 7.54949485751093e-15 1.66913267919875e+08 7.58390859610454e+08 1.16491319803305e-09 5.41168446840703e+07 9.25645727707282e-28 4.70873987841432e-59 4.07355360858766e+22 4.29755079908854e+09 5.24823766075136e+05 8.12508237977762e+08 1.66912734236973e+08 2.77711118142340e-09 1.05304577576084e-07 
4.52749110023320e-13 6.06771415950456e+02 4.99057519670707e+02 2.69850614460591e-04 3.36489434372789e-17 6.77632577462465e-18 9.03450905824330e-18 1.50541672703680e-14 2.12176860787900e+08 9.64050562362390e+08 1.87310026839284e-09 6.87922103030016e+07 2.29684406130049e-27 1.80122370115674e-58 4.07355360858751e+22 5.46295735870431e+09 6.67145088940012e+05 1.03284363079157e+09 2.12176002662256e+08 4.46540000274519e-09 1.69322591725286e-07 
7.39367411195047e-13 6.06771415919091e+02 4.99057519662805e+02 7.16082799959350e-04 1.48142766266950e-16 2.98334402400594e-17 3.97753101904594e-17 6.64632821075053e-14 3.46498844929649e+08 1.57435359037306e+09 4.97049278659310e-09 1.12341948629214e+08 1.75482047299169e-26 4.21823926073418e-57 4.07355360858709e+22 8.92134808297072e+09 1.08948935737097e+06 1.68669781614382e+09 3.46496567789532e+08 1.18494327186929e-08 4.49318196846528e-07 
1.02598571236677e-12 6.06771415887727e+02 4.99057519639357e+02 1.37688872098736e-03 3.88106906421634e-16 7.81581538782671e-17 1.04204025414317e-16 1.74268530784131e-13 4.80821495725112e+08 2.18465596160477e+09 9.55726791959240e-09 1.55891684921418e+08 6.18939829339008e-26 2.62715531053563e-56 4.07355360858666e+22 1.23797384028289e+10 1.51183362516265e+06 2.34055202502015e+09 4.80817117233907e+08 2.27840408490373e-08 8.63950659033078e-07 
1.31260401353850e-12 6.06771415856362e+02 4.99057519615909e+02 2.25227608749507e-03 8.00403331096493e-16 1.61187679379748e-16 2.14902769386551e-16 3.59533031307827e-13 6.15144813194327e+08 2.79495767603780e+09 1.56334663130396e-08 1.99441419179550e+08 1.59790608542862e-25 1.05517517410726e-55 4.07355360858624e+22 1.58381283182664e+10 1.93417789231503e+06 2.99440625742128e+09 6.15137650994896e+08 3.72692946244417e-08 1.41322421346530e-06 
1.59922231471023e-12 6.06771415824997e+02 4.99057519592461e+02 3.34224445412651e-03 1.43332254256774e-15 2.88646915340244e-16 3.84837208542105e-16 6.43961822115504e-13 7.49468797331877e+08 3.40525873367749e+09 2.31990716120400e-08 2.42991151403623e+08 3.43968138371635e-25 3.27046201173607e-55 4.07355360858581e+22 1.92965178292860e+10 2.35652215882812e+06 3.64826051334706e+09 7.49458169072611e+08 5.53051275753850e-08 2.09713795975186e-06 
4.46540532642750e-12 6.06771415511351e+02 4.99057519569013e+02 2.60441406428099e-02 3.73256643883263e-14 7.51676593336163e-15 1.00216831460789e-14 1.67756988476902e-11 2.09274530480963e+09 9.50823318709052e+09 1.80769505198574e-07 6.78488361772436e+08 3.07788148005262e-23 3.12241385116489e-52 4.07355360858157e+22 5.38803906967616e+10 6.57996478879838e+06 1.01868043664448e+10 2.09266248727980e+09 4.30928244745875e-07 1.63414234571393e-05 
7.33158833814477e-12 6.06771415197705e+02 4.99057519334531e+02 7.02051651509820e-02 1.50317195894630e-13 3.02713970360851e-14 4.03591289092797e-14 6.75598032793536e-11 3.43608847771735e+09 1.56111419625631e+10 4.87272652219760e-07 1.11398536873739e+09 1.80694575512005e-22 4.19298287931562e-51 4.07355360857732e+22 8.84642231228694e+10 1.08034073548401e+07 1.67253505719824e+10 3.43586523717573e+09 1.16155894782625e-06 4.40496657193722e-05 
1.01977713498620e-11 6.06771414884059e+02 4.99057519100050e+02 1.35826319204446e-01 3.86412242427475e-13 7.78170931924829e-14 1.03749017712537e-13 1.73671584002089e-10 4.77949831532230e+09 2.17139850608261e+10 9.42702829443573e-07 1.54948217229876e+09 6.14539888634361e-22 2.54931535243506e-50 4.07355360857307e+22 1.23048015107690e+11 1.50268498569533e+07 2.32638991299551e+10 4.77906641876351e+09 2.24715751635045e-06 8.52219015018179e-05 
1.30639543615793e-11 6.06771414570414e+02 4.99057518865569e+02 2.22908667911857e-01 7.93796810078529e-13 1.59857792314479e-13 2.13128958682564e-13 3.56765684256647e-10 6.12297481690819e+09 2.78167624825947e+10 1.54705419932459e-06 1.98497877245666e+09 1.57738920340182e-21 1.02661342803940e-49 4.07355360856883e+22 1.57631766651275e+11 1.92502922951382e+07 2.98024500403599e+10 6.12226603204519e+09 3.68768262460574e-06 1.39858179627616e-04 
4.11069467178989e-11 6.06771411501675e+02 4.99057518631087e+02 2.20736384778530e+00 2.37964967995637e-11 4.79228124661875e-12 6.38919445378960e-12 1.06930259996724e-08 1.92711865300959e+10 8.75234209289698e+10 1.53154049353271e-05 6.24590594392593e+09 1.82902678033636e-19 1.67268166687740e-46 4.07355360852727e+22 4.96000168518714e+11 6.05728295723023e+07 9.37763442961789e+10 1.92641691112246e+10 3.64979677557058e-05 1.38474753921234e-03 
6.91499390742185e-11 6.06771408432938e+02 4.99057516336902e+02 6.24736884552276e+00 1.13009247074469e-10 2.27586353775778e-11 3.03421980534476e-11 5.07745774043996e-08 3.24257791499171e+10 1.47223792998185e+11 4.33337402056354e-05 1.05068136440021e+10 1.26590757750038e-18 2.59215344963383e-45 4.07355360848572e+22 8.34364699059692e+11 1.01895360729775e+08 1.57750463743753e+11 3.24059220608380e+10 1.03242189159529e-04 3.91858071658438e-03 
9.71929314305380e-11 6.06771405364203e+02 4.99057514042718e+02 1.23439255992254e+01 3.13675241532929e-10 6.31706793389340e-11 8.42196197325658e-11 1.40914269649392e-07 4.55867520131905e+10 2.06917879352474e+11 8.55966143395804e-05 1.47677018727740e+10 4.65531586618686e-18 1.70588819044068e-44 4.07355360844417e+22 1.17272535831852e+12 1.43217885767620e+08 2.21724808380509e+11 4.55475248826010e+10 2.03881692038315e-04 7.74140528254465e-03 
1.25235923786858e-10 6.06771402295471e+02 4.99057511748535e+02 2.04980357822061e+01 6.71048103759518e-10 1.35142570968635e-10 1.80171736877670e-10 3.01417108188318e-07 5.87541044573417e+10 2.66605680653466e+11 1.42098591457447e-04 1.90285706303297e+10 1.25187628931744e-17 7.25335381141668e-44 4.07355360840262e+22 1.51108214633927e+12 1.84540404685899e+08 2.85699378203887e+11 5.86889775782204e+10 3.38377879738746e-04 1.28532688656151e-02 
