Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 4.91689002000000e+02 3.98992550900000e+02 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 2.07406000966947e+22 2.07406000966947e-03 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.25538671053710e-14 4.91689001997221e+02 4.17400963476159e+02 1.08016893756725e-06 1.90039548999143e-20 3.93382401810575e-21 5.56581045816184e-21 5.29846463885076e-18 8.51424670537915e+06 3.25209478675587e+07 1.19436251359516e-11 2.22092721263215e+06 4.56592397870322e-32 3.12245009686023e-65 2.07406000966945e+22 1.84285377584925e+08 3.26073783459744e+04 3.47418763807359e+07 8.51424540483630e+06 2.45183294127119e-11 7.65014535635834e-10 
4.51077342107419e-14 4.91689001994441e+02 4.17400963474313e+02 3.40914096861219e-06 8.19495472019907e-20 1.69635794183994e-20 2.40010907859081e-20 2.35795220983942e-17 1.70284948754798e+07 6.50418942938771e+07 3.76954899378152e-11 4.44185442120911e+06 3.40999401276777e-31 6.58158946350433e-64 2.07406000966943e+22 3.68570754322848e+08 6.52147566845075e+04 6.94837528197598e+07 1.70284907708130e+07 7.73827331495717e-11 2.41447626748329e-09 
6.76616013161129e-14 4.91689001991662e+02 4.17400963472467e+02 7.01324313515129e-06 2.15164006827147e-19 4.45390103490739e-20 6.30164660803437e-20 6.30077632459755e-17 2.55427445411806e+07 9.75628392485713e+07 7.75466924471309e-11 6.66278162564540e+06 1.27646643495415e-30 4.70489043852248e-63 2.07406000966940e+22 5.52856130198031e+08 9.78221350154425e+04 1.04225629318301e+08 2.55427360971108e+07 1.59190780247369e-10 4.96703081235946e-09 
1.66064836308714e-13 4.91689001979536e+02 4.17400963470620e+02 3.66606351920289e-05 2.37603477705427e-18 4.91839881639881e-19 6.95884581785440e-19 7.22366536278965e-16 6.26907012541074e+07 2.39452733837894e+08 4.05363012928643e-10 1.63527571654895e+07 3.76448748578188e-29 8.29778187534602e-61 2.07406000966931e+22 1.35689904003554e+09 2.40089157142058e+05 2.55805535143499e+08 6.26906571140648e+07 8.32144110546061e-10 2.59643723981916e-08 
2.64468071301315e-13 4.91689001967410e+02 4.17400963462566e+02 9.01391815327587e-05 8.36943406170794e-18 1.73247528188647e-18 2.45120996429957e-18 2.56726718434421e-15 9.98386859185642e+07 3.81342600923780e+08 9.96684119202603e-10 2.60427326279479e+07 1.94489782237157e-28 9.15257481948205e-60 2.07406000966921e+22 2.16094193374916e+09 3.82356179126671e+05 4.07385442081019e+08 9.98385773894535e+07 2.04602903684579e-09 6.38397768106825e-08 
3.62871306293916e-13 4.91689001955284e+02 4.17400963454511e+02 1.67825265341352e-04 2.03094589405420e-17 4.20406396377575e-18 5.94816181726253e-18 6.25570474366575e-15 1.36986698975985e+08 5.23232440071874e+08 1.85567135298175e-09 3.57327080117982e+07 6.23341130003498e-28 5.08513065846602e-59 2.07406000966911e+22 2.96498481108424e+09 5.24623200967038e+05 5.58965350148426e+08 1.36986496911565e+08 3.80938745603555e-09 1.18859800585545e-07 
4.61274541286517e-13 4.91689001943157e+02 4.17400963446456e+02 2.69851732175793e-04 4.04078500333043e-17 8.36443694963822e-18 1.18345068353053e-17 1.24745162406959e-14 1.74134740582156e+08 6.65122251128884e+08 2.98379319585723e-09 4.54226833166092e+07 1.54578239690447e-27 1.94508596317432e-58 2.07406000966901e+22 3.76902767195090e+09 6.66890222662369e+05 7.10545259351921e+08 1.74134415676267e+08 6.12523322891840e-09 1.91118517572740e-07 
7.53305930451581e-13 4.91689001907171e+02 4.17400963438400e+02 7.16115332225585e-04 1.77911388729883e-16 3.68277123699387e-17 5.21060522441690e-17 5.50793421892360e-14 2.84379192969744e+08 1.08620863451884e+09 7.91818696559106e-09 7.41796332644900e+07 1.18068727976097e-26 4.55571509985937e-57 2.07406000966871e+22 6.15518646106158e+09 1.08909621921378e+06 1.16038912999840e+09 2.84378330756103e+08 1.62547041224486e-08 5.07177755302568e-07 
1.04533731961665e-12 4.91689001871184e+02 4.17400963414496e+02 1.37697583817987e-03 4.66107257117103e-16 9.64843505624818e-17 1.36511829028472e-16 1.44424413721278e-13 3.94623897056315e+08 1.50729477024483e+09 1.52253902724664e-08 1.02936582515523e+08 4.16435075649466e-26 2.83745587857240e-56 2.07406000966842e+22 8.54134510497904e+09 1.51130221448648e+06 1.61023301066116e+09 3.94622239158256e+08 3.12551227380983e-08 9.75221440758751e-07 
1.33736870878171e-12 4.91689001835197e+02 4.17400963390591e+02 2.25244040090974e-03 9.61279117601138e-16 1.98985092361714e-16 2.81535995188143e-16 2.97967072543133e-13 5.04868852849551e+08 1.92838065829929e+09 2.49054715745487e-08 1.31693531069687e+08 1.07511199128886e-25 1.13966803677380e-55 2.07406000966812e+22 1.09275036036988e+10 1.93350820848042e+06 2.06007690134051e+09 5.04866140882521e+08 5.11266119515351e-08 1.59525432861113e-06 
1.62940009794677e-12 4.91689001799210e+02 4.17400963366686e+02 3.34250799750223e-03 1.72142630026361e-15 3.56335824632873e-16 5.04165187316644e-16 5.33696714696505e-13 6.15114060347530e+08 2.34946629868413e+09 3.69584086274561e-08 1.60450478926987e+08 2.31432469958130e-25 3.53239739259315e-55 2.07406000966783e+22 1.33136619572219e+10 2.35571420119562e+06 2.50992080203638e+09 6.15110035928945e+08 7.58691079028680e-08 2.36727537511662e-06 
4.54971398959741e-12 4.91689001439341e+02 4.17400963342781e+02 2.60463998535778e-02 4.48291627363117e-14 9.27965794507918e-15 1.31294050051821e-14 1.39037297217639e-11 1.71757997888427e+09 6.56030908090416e+09 2.87991441568571e-07 4.48019919172874e+08 2.07095106996009e-23 3.37256690075935e-52 2.07406000966488e+22 3.71752375067254e+10 6.57777405801752e+06 7.00836035989728e+09 1.71754861911607e+09 5.91185883646043e-07 1.84467540600618e-05 
7.47002788124806e-12 4.91689001079472e+02 4.17400963103731e+02 7.02109650708174e-02 1.80534885479360e-13 3.73708229606447e-14 5.28744119964037e-14 5.59939775724017e-11 2.82007106750382e+09 1.07711270965487e+10 7.76301680151801e-07 7.35589289732976e+08 1.21580148755142e-22 4.52882661035669e-51 2.07406000966193e+22 6.10367985367005e+10 1.07998337869663e+07 1.15068009194003e+10 2.81998653452552e+09 1.59356541627674e-06 4.97249467752580e-05 
1.03903417728987e-11 4.91689000719603e+02 4.17400962864682e+02 1.35836654628647e-01 4.64089499903651e-13 9.60668302906415e-14 1.35920873465128e-13 1.43940460229842e-10 3.92258732604528e+09 1.49819203457781e+10 1.50188369634550e-06 1.02315859060737e+09 4.13491070392731e-22 2.75344858939687e-50 2.07406000965899e+22 8.48983450471682e+10 1.50218933880422e+07 1.60052424805440e+10 3.92242378215823e+09 3.08297923176179e-06 9.62018687870249e-05 
1.33106556645493e-11 4.91689000359734e+02 4.17400962625633e+02 2.22923957328963e-01 9.53362719078808e-13 1.97346796088451e-13 2.79217463475440e-13 2.95690917982767e-10 5.02512875435941e+09 1.91926888287413e+10 2.46473198727048e-06 1.31072782179608e+09 1.06133599085310e-21 1.10879281921145e-49 2.07406000965604e+22 1.08759877038139e+11 1.92439528612454e+07 2.05036850433276e+10 5.02486036201472e+09 5.05939788221553e-06 1.57877547741646e-04 
4.25137945810558e-11 4.91688996761047e+02 4.17400962386584e+02 2.27436370600812e+00 3.81022253085983e-11 7.88724148541877e-12 1.11592427474355e-11 1.18157871440318e-08 1.60519273223514e+10 6.12990115663014e+10 2.51408824141558e-05 4.18641630097659e+09 1.67638687558609e-19 2.40226840378170e-46 2.07406000962657e+22 3.47374398378692e+11 6.14645405603234e+07 6.54881657611435e+10 1.60491894330313e+10 5.15982256330170e-05 1.61057678407604e-03 
7.17169334975622e-11 4.91688993162361e+02 4.17400959996091e+02 6.47252666640454e+00 1.61947638708880e-10 3.35236479634442e-11 4.74306403411382e-11 5.02179027080493e-08 2.70812427012663e+10 1.03402857843338e+11 7.15374165175309e-05 7.06209781160787e+09 1.05275228596273e-18 3.64300371928372e-45 2.07406000959711e+22 5.85987467779606e+11 1.03685115472276e+08 1.10472746642264e+11 2.70734517268838e+10 1.46803994388251e-04 4.58318578955268e-03 
