Species               Population
--------------------------------------------------------------------------------------------------
O2[82.444397%]
 O2(X)                9.17468583961159e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             8.19380885874477e-02
 O2(b1Sg+)            5.61028116135016e-04
 O2(A3Su+_C3Du_c1Su-) 3.22993352581901e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[17.555603%]
 O(3P)                9.99764391837270e-01
 O(1D)                2.35608162730122e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[0.000000%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[0.000000%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99994614319630e-01
 | | CO(X,v=0,J=0)    | | 1.12148918075971e-02
 | | CO(X,v=0,J=1)    | | 3.29170500686792e-02
 | | CO(X,v=0,J=2)    | | 5.25144459612345e-02
 | | CO(X,v=0,J=3)    | | 6.88526276436515e-02
 | | CO(X,v=0,J=4)    | | 8.11116524138724e-02
 | | CO(X,v=0,J=5)    | | 8.88702189944490e-02
 | | CO(X,v=0,J=6)    | | 9.21158382053933e-02
 | | CO(X,v=0,J=7)    | | 9.12040598661745e-02
 | | CO(X,v=0,J=8)    | | 8.67777437958929e-02
 | | CO(X,v=0,J=9)    | | 7.96625346043410e-02
 | | CO(X,v=0,J=10)   | | 7.07563571231589e-02
 | | CO(X,v=0,J=11)   | | 6.09290242272578e-02
 | | CO(X,v=0,J=12)   | | 5.09437812916411e-02
 | | CO(X,v=0,J=13)   | | 4.14070489213681e-02
 | | CO(X,v=0,J=14)   | | 3.27470682584500e-02
 | | CO(X,v=0,J=15)   | | 2.52176491405273e-02
 | | CO(X,v=0,J=16)   | | 1.89203813748214e-02
 | | CO(X,v=0,J=17)   | | 1.38376263014901e-02
 | CO(X,v=1)          | 5.38564665514648e-06
 | CO(X,v=2)          | 3.37147838050952e-11
 | CO(X,v=3)          | 2.45326932598521e-16
 | CO(X,v=4)          | 2.07497278725439e-21
 | CO(X,v=5)          | 2.03996120897519e-26
 | CO(X,v=6)          | 2.33116889654684e-31
 | CO(X,v=7)          | 3.09647727977055e-36
 | CO(X,v=8)          | 4.78084190642084e-41
 | CO(X,v=9)          | 8.57991913230729e-46
 | CO(X,v=10)         | 1.78979929845994e-50
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
