Species               Population
--------------------------------------------------------------------------------------------------
O2[44.524456%]
 O2(X)                9.32902361294157e-01
 | O2(X,v=0)          | 1.00000000000000e+00
 | O2(X,v=1)          | 0.00000000000000e+00
 | O2(X,v=2)          | 0.00000000000000e+00
 | O2(X,v=3)          | 0.00000000000000e+00
 | O2(X,v=4)          | 0.00000000000000e+00
 O2(a1Dg)             6.68110892174434e-02
 O2(b1Sg+)            2.70364846097200e-04
 O2(A3Su+_C3Du_c1Su-) 1.61846423021600e-05
 O2(9.97eV)           0.00000000000000e+00
 O2(14.7eV)           0.00000000000000e+00
 O2(+,X)              0.00000000000000e+00
O[15.068683%]
 O(3P)                9.99864321552089e-01
 O(1D)                1.35678447910603e-04
 O(1S)                0.00000000000000e+00
 O(4S0)               0.00000000000000e+00
 O(2D0)               0.00000000000000e+00
 O(2P0)               0.00000000000000e+00
 O(3P0)               0.00000000000000e+00
 O(-,gnd)             0.00000000000000e+00
 O(+,gnd)             0.00000000000000e+00
CO2[17.100987%]
 CO2(X)               1.00000000000000e+00
 | CO2(X,v=00001)     | 9.19698215000000e-01
 | CO2(X,v=01101)     | 7.41884390000000e-02
 | CO2(X,v=02201)     | 2.87871000000000e-03
 | CO2(X,v=10002)     | 2.87871000000000e-03
 | CO2(X,v=03301)     | 1.07463000000000e-04
 | CO2(X,v=11102)     | 2.14927000000000e-04
 | CO2(X,v=00011)     | 1.18866000000000e-05
 | CO2(X,v=04401)     | 3.71299000000000e-06
 | CO2(X,v=12202)     | 7.42598000000000e-06
 | CO2(X,v=20003)     | 5.56949000000000e-06
 | CO2(X,v=01111)     | 3.71299000000000e-06
 | CO2(X,v=05501)     | 1.49756000000000e-07
 | CO2(X,v=13302)     | 2.99512000000000e-07
 | CO2(X,v=21103)     | 4.49269000000000e-07
 | CO2(X,v=02211)     | 1.49756000000000e-07
 | CO2(X,v=10012)     | 1.49756000000000e-07
 | CO2(X,v=30004)     | 0.00000000000000e+00
 | CO2(X,v=06601)     | 0.00000000000000e+00
 | CO2(X,v=14402)     | 1.20802000000000e-08
 | CO2(X,v=22203)     | 1.78208001000000e-08
 | CO2(X,v=0n0+n00)   | 0.00000000000000e+00
 CO2(e1)              0.00000000000000e+00
 CO2(+,X)             0.00000000000000e+00
CO[23.305874%]
 CO(X)                1.00000000000000e+00
 | CO(X,v=0)          | 9.99984432827777e-01
 | | CO(X,v=0,J=0)    | | 1.03487702417247e-02
 | | CO(X,v=0,J=1)    | | 3.04330394560746e-02
 | | CO(X,v=0,J=2)    | | 4.87376671038307e-02
 | | CO(X,v=0,J=3)    | | 6.42685883430946e-02
 | | CO(X,v=0,J=4)    | | 7.62929744753461e-02
 | | CO(X,v=0,J=5)    | | 8.43939607276970e-02
 | | CO(X,v=0,J=6)    | | 8.84858877218489e-02
 | | CO(X,v=0,J=7)    | | 8.87910565781270e-02
 | | CO(X,v=0,J=8)    | | 8.57846375200911e-02
 | | CO(X,v=0,J=9)    | | 8.01183808045370e-02
 | | CO(X,v=0,J=10)   | | 7.25355903769980e-02
 | | CO(X,v=0,J=11)   | | 6.37893700840734e-02
 | | CO(X,v=0,J=12)   | | 5.45738304831344e-02
 | | CO(X,v=0,J=13)   | | 4.54744519446410e-02
 | | CO(X,v=0,J=14)   | | 3.69399511964240e-02
 | | CO(X,v=0,J=15)   | | 2.92745314305601e-02
 | | CO(X,v=0,J=16)   | | 2.26468324477927e-02
 | | CO(X,v=0,J=17)   | | 1.71104790640048e-02
 | CO(X,v=1)          | 1.55668942231107e-05
 | CO(X,v=2)          | 2.77994483310392e-10
 | CO(X,v=3)          | 5.69502780547458e-15
 | CO(X,v=4)          | 1.33838477643347e-19
 | CO(X,v=5)          | 3.60820825124617e-24
 | CO(X,v=6)          | 1.11590614875724e-28
 | CO(X,v=7)          | 3.95903383971937e-33
 | CO(X,v=8)          | 1.61129932512422e-37
 | CO(X,v=9)          | 7.52295916618078e-42
 | CO(X,v=10)         | 4.02927261239973e-46
 CO(a3P)              0.00000000000000e+00
 CO(a'3Su+)           0.00000000000000e+00
 CO(A1P)              0.00000000000000e+00
 CO(b3Su+)            0.00000000000000e+00
 CO(B1Su+)            0.00000000000000e+00
 CO(C1Su+)            0.00000000000000e+00
 CO(E1P)              0.00000000000000e+00
 CO(+,X)              0.00000000000000e+00
C[0.000000%]
 C(X)                 0.00000000000000e+00
O3[0.000000%]
 O3(X)                0.00000000000000e+00
