Time(s)              GasTemp(K)           NearWallTemp(K)      [O2(X)](m^-3)        [O2(a1Dg)](m^-3)     [O2(b1Sg+)](m^-3)    [O2(A3Su+_C3Du_c1Su-)](m^-3) [O2(+,X)](m^-3)      [O(3P)](m^-3)        [O(1D)](m^-3)        [O(+,gnd)](m^-3)     [O(-,gnd)](m^-3)     [O3(X)](m^-3)        [O3(exc)](m^-3)      [CO2(X)](m^-3)       [CO2(e1)](m^-3)      [CO2(+,X)](m^-3)     [CO(X)](m^-3)        [CO(a3P)](m^-3)      [CO(+,X)](m^-3)      [C(X)](m^-3)        
0.00000000000000e+00 5.73063457500000e+02 4.35611055875000e+02 1.00427047694920e+21 1.00427047694920e-04 1.00427047694920e-04 1.00427047694920e-04 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.50653524081981e-15 5.73063457484722e+02 4.85234359442230e+02 1.00427047694917e+21 1.02508141038166e+07 2.41540368306432e+06 4.17527250945812e+06 3.57216377023729e+03 1.50815828914266e+07 3.85367993752094e+06 6.56454624149057e-01 5.08492544983425e+05 1.08016877637031e-06 4.38743997993910e-12 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.01307048163961e-15 5.73063457469444e+02 4.85234359431012e+02 1.00427047694915e+21 2.05016282075420e+07 4.83080736627813e+06 8.35054501854889e+06 7.14432754047364e+03 3.01631657835715e+07 7.70735987432222e+06 1.31290924829326e+00 1.01698508996549e+06 3.40914027310137e-06 1.38472789244816e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
7.51960572245941e-15 5.73063457454166e+02 4.85234359419794e+02 1.00427047694912e+21 3.07524423112770e+07 7.24621104974713e+06 1.25258175273671e+07 1.07164913107090e+04 4.52447486764497e+07 1.15610398103887e+07 1.96936387243249e+00 1.52547763494616e+06 7.01324130845337e-06 2.84864513591177e-11 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.84557291793652e-14 5.73063457387507e+02 4.85234359408576e+02 1.00427047694900e+21 7.54771949286912e+07 1.77847235180683e+07 3.07427150485316e+07 2.63019988923924e+04 1.11046357916223e+08 2.83748147925941e+07 4.83350425888864e+00 3.74405296483780e+06 3.66607335399025e-05 1.48908921998601e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
2.93918526362710e-14 5.73063457320849e+02 4.85234359359632e+02 1.00427047694889e+21 1.20201947546283e+08 2.83232359911587e+07 4.89596125646023e+07 4.18875064740578e+04 1.76847967169703e+08 4.51885897610660e+07 7.69764464525205e+00 5.96262829470345e+06 9.01394840032188e-05 3.66129427818096e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
4.03279760931768e-14 5.73063457254190e+02 4.85234359310687e+02 1.00427047694877e+21 1.64926700164056e+08 3.88617484690936e+07 6.71765100754989e+07 5.74730140557048e+04 2.42649576437106e+08 6.20023647155874e+07 1.05617850315213e+01 8.18120362454271e+06 1.67825859003271e-04 6.81676697157072e-10 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
5.12640995500825e-14 5.73063457187531e+02 4.85234359261743e+02 1.00427047694866e+21 2.09651452782009e+08 4.94002609518997e+07 8.53934075811929e+07 7.30585216373334e+04 3.08451185718508e+08 7.88161396560818e+07 1.34259254176958e+01 1.03997789543554e+07 2.69852685680152e-04 1.09609024862259e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
8.37207452249661e-14 5.73063456989699e+02 4.85234359212798e+02 1.00427047694831e+21 3.42387285030941e+08 8.06768615916659e+07 1.39458213052021e+08 1.19313787429849e+05 5.03739719777396e+08 1.28716704234286e+08 2.19262308538403e+01 1.69841517135701e+07 7.16143090790655e-04 2.90883693392293e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
1.16177390899850e-13 5.73063456791867e+02 4.85234359067539e+02 1.00427047694797e+21 4.75123117281472e+08 1.11953462274382e+08 1.93523018476976e+08 1.65569053222202e+05 6.99028253959721e+08 1.78617268688809e+08 3.04265362891498e+01 2.35685244725507e+07 1.37705017304473e-03 5.59331571656953e-09 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 0.00000000000000e+00 
