Energy(eV)           EEDF(eV^-(3/2))      Anisotropy(eV^-(3/2))
7.23379629629630e-03 2.13767028151061e-01 -2.24096501005690e-03 
2.17013888888889e-02 2.13793349047905e-01 -1.00792196233815e-03 
3.61689814814815e-02 2.13816644290631e-01 -3.42274249635603e-04 
5.06365740740741e-02 2.13837733948778e-01 1.37483217743941e-05 
6.51041666666667e-02 2.13856673879158e-01 2.74314743566269e-04 
7.95717592592593e-02 2.13873164083905e-01 4.89713434928379e-04 
9.40393518518519e-02 2.13887192685194e-01 6.86195783075693e-04 
1.08506944444444e-01 2.13898613945083e-01 8.69299359693943e-04 
1.22974537037037e-01 2.13907353403165e-01 1.04744945450831e-03 
1.37442129629630e-01 2.13913194738079e-01 1.74810317067039e-03 
1.51909722222222e-01 2.13902321668944e-01 2.94920861958190e-03 
1.66377314814815e-01 2.13872923608227e-01 3.61483126061981e-03 
1.80844907407407e-01 2.13838814259946e-01 3.80862978389619e-03 
1.95312500000000e-01 2.13798517692531e-01 4.17968334163379e-03 
2.09780092592593e-01 2.13747462654221e-01 4.56585867939100e-03 
2.24247685185185e-01 2.13689301822150e-01 4.71617168610681e-03 
2.38715277777778e-01 2.13627969336223e-01 4.76135750292959e-03 
2.53182870370370e-01 2.13562859007009e-01 6.07278193926928e-03 
2.67650462962963e-01 2.13448703682127e-01 9.01219076274796e-03 
2.82118055555556e-01 2.13267093688999e-01 1.10690704025537e-02 
2.96585648148148e-01 2.13063634782046e-01 1.13877478369131e-02 
3.11053240740741e-01 2.12857164910697e-01 1.16763067121830e-02 
3.25520833333333e-01 2.12630849471429e-01 1.21993832079585e-02 
3.39988425925926e-01 2.12375001245497e-01 1.20766001609398e-02 
3.54456018518519e-01 2.12140448887033e-01 1.17337650691106e-02 
3.68923611111111e-01 2.11905948292244e-01 1.23878858079296e-02 
3.83391203703704e-01 2.11634870914276e-01 1.47218128355499e-02 
3.97858796296296e-01 2.11284544059371e-01 1.71879827334886e-02 
4.12326388888889e-01 2.10888200964453e-01 1.82922576867052e-02 
4.26793981481482e-01 2.10474202530545e-01 1.90897641575776e-02 
4.41261574074074e-01 2.10028632319720e-01 1.90699388058584e-02 
4.55729166666667e-01 2.09516389397346e-01 1.75985577816837e-02 
4.70196759259259e-01 2.09103272982671e-01 1.62035881696711e-02 
4.84664351851852e-01 2.08731111817957e-01 1.58951095341849e-02 
4.99131944444445e-01 2.08353604077624e-01 1.69689669513860e-02 
5.13599537037037e-01 2.07918728143728e-01 1.91333459832630e-02 
5.28067129629630e-01 2.07425565792013e-01 2.07001110081201e-02 
5.42534722222222e-01 2.06906046805291e-01 2.16395701984019e-02 
5.57002314814815e-01 2.06359460082954e-01 2.16211213448167e-02 
5.71469907407407e-01 2.05762668527989e-01 1.99485202654265e-02 
5.85937500000000e-01 2.05213051482225e-01 1.81453131402062e-02 
6.00405092592593e-01 2.04779453305177e-01 1.79015203121984e-02 
6.14872685185185e-01 2.04324966924664e-01 1.92095422211388e-02 
6.29340277777778e-01 2.03837407757427e-01 2.04392416020617e-02 
6.43807870370370e-01 2.03340954520482e-01 2.10388120336112e-02 
6.58275462962963e-01 2.02844812446653e-01 2.15753593482634e-02 
6.72743055555556e-01 2.02344025332814e-01 2.20251699423572e-02 
6.87210648148148e-01 2.01848717889109e-01 2.10935990067537e-02 
7.01678240740741e-01 2.01278334967394e-01 1.93800928537440e-02 
7.16145833333333e-01 2.00878698455631e-01 1.86596893457644e-02 
7.30613425925926e-01 2.00471341590410e-01 1.95899005267474e-02 
7.45081018518519e-01 2.00041814987321e-01 2.02487663159541e-02 
7.59548611111111e-01 1.99608625352254e-01 2.05441923503795e-02 
7.74016203703704e-01 1.99169598210878e-01 2.09061945247047e-02 
7.88483796296296e-01 1.98724077715525e-01 2.05922180132153e-02 
8.02951388888889e-01 1.98230629741713e-01 1.92283193018465e-02 
8.17418981481482e-01 1.97778782183159e-01 1.79357301160966e-02 
8.31886574074074e-01 1.97379366467911e-01 1.77369513514696e-02 
8.46354166666667e-01 1.96949771288350e-01 1.82186393862928e-02 
8.60821759259259e-01 1.96484966177721e-01 1.86882840421184e-02 
8.75289351851852e-01 1.95988408782413e-01 1.89925349206320e-02 
8.89756944444445e-01 1.95463695870605e-01 1.91601132256268e-02 
9.04224537037037e-01 1.94913757767826e-01 1.86585221991236e-02 
9.18692129629630e-01 1.94314722879678e-01 1.75667518138002e-02 
9.33159722222222e-01 1.93805821280728e-01 1.68475185449509e-02 
9.47627314814815e-01 1.93310238838316e-01 1.69195872492531e-02 
9.62094907407408e-01 1.92801858443976e-01 1.72014993475263e-02 
9.76562500000000e-01 1.92279149841681e-01 1.74531646207885e-02 
9.91030092592593e-01 1.91745216675105e-01 1.76245731264797e-02 
1.00549768518519e+00 1.91201739951177e-01 1.77510855856999e-02 
1.01996527777778e+00 1.90650643659882e-01 1.76096278732326e-02 
1.03443287037037e+00 1.90077869193274e-01 1.70981816761139e-02 
1.04890046296296e+00 1.89535755235772e-01 1.67100144030809e-02 
1.06336805555556e+00 1.89010307196164e-01 1.67453837396658e-02 
1.07783564814815e+00 1.88474987769373e-01 1.69115082325173e-02 
1.09230324074074e+00 1.87931060533420e-01 1.70447338308199e-02 
1.10677083333333e+00 1.87379296040237e-01 1.71586599724679e-02 
1.12123842592593e+00 1.86820090352239e-01 1.72654503455046e-02 
1.13570601851852e+00 1.86253421676839e-01 1.72224525217212e-02 
1.15017361111111e+00 1.85671087754887e-01 1.70220691296029e-02 
1.16464120370370e+00 1.85107785019486e-01 1.69613372367218e-02 
1.17910879629630e+00 1.84540016857689e-01 1.70783745780470e-02 
1.19357638888889e+00 1.83963732916477e-01 1.72036148763768e-02 
1.20804398148148e+00 1.83379784072308e-01 1.73159526995109e-02 
1.22251157407407e+00 1.82791880988172e-01 1.74251501188479e-02 
1.23697916666667e+00 1.82200064210602e-01 1.74722270751204e-02 
1.25144675925926e+00 1.81600799158002e-01 1.74559198070241e-02 
1.26591435185185e+00 1.81009209629469e-01 1.75015730989699e-02 
1.28038194444444e+00 1.80414311324351e-01 1.76138237775712e-02 
1.29484953703704e+00 1.79815288460225e-01 1.77242974910871e-02 
1.30931712962963e+00 1.79212665568292e-01 1.78302880476728e-02 
1.32378472222222e+00 1.78607923121745e-01 1.79370519522411e-02 
1.33825231481481e+00 1.78001004904841e-01 1.80296659736510e-02 
1.35271990740741e+00 1.77390761782562e-01 1.80939855530365e-02 
